word,frequentcy
football(2),3
is(1),325
more(1),83
than(1),59
a(1),688
it(1),180
also(1),61
an(1),101
invaluable(6),1
in(1),499
teach(1),6
young(1),16
player(1),6
to(1),713
cooperate(4),2
with(1),156
their(1),142
fellow(2),1
on(1),163
the(1),1474
practice(1),8
game(1),7
show(1),23
them(1),43
necessity(3),2
of(1),702
teamwork(9),2
prepare(1),2
be(1),402
better(1),5
citizen(2),3
and(1),591
wherever(2),1
learn(1),5
rough-and-tumble(9),1
lesson(1),3
that(1),254
only(1),28
through(2),18
cooperation(4),1
each(1),20
member(2),10
can(1),108
team(2),9
they(1),139
must(1),9
always(1),15
remember(1),5
off(1),13
continue(1),11
keep(1),18
former(2),4
do(1),68
not(1),105
look(1),16
upon(2),4
himself(9),6
as(1),168
lone(2),1
wolf(2),1
who(1),41
have(1),242
right(1),7
remain(3),8
isolate(4),1
from(1),126
society(2),3
go(1),30
his(1),87
own(1),14
he(1),80
understand(1),6
place(1),15
know(1),20
behave(3),4
realize(2),5
by(1),133
share(2),4
make(1),80
what(1),24
should(9),13
man(1),11
play(1),22
essential(4),2
modern(2),4
aware(3),2
every(1),14
part(1),19
if(1),30
nation(1),5
so(1),45
little(1),9
difficulty(2),2
adjust(4),2
role(2),4
family(1),21
life(1),16
business(2),3
duty(2),1
anita(9),1
shop(1),6
her(1),57
mother(1),10
enjoy(2),4
both(1),15
end(1),3
up(1),40
buy(1),10
same(1),17
pair(1),1
recent(2),12
market(1),3
adult(1),2
influence(2),6
household(4),2
clothing(2),9
often(1),33
those(1),24
early(1),15
twenty(1),2
are(1),185
inform(3),1
there(1),47
isn't(9),2
brand(2),2
or(1),128
trend(3),3
these(1),34
people(1),94
why(1),10
want(1),7
abreast(9),1
usually(9),18
turn(1),11
this(1),84
tell(1),16
retailers(9),1
world(1),23
you(1),58
get(1),33
into(1),45
mother's(9),3
you've(9),3
win(1),13
daughter(1),2
over(1),25
dj(9),1
various(3),8
kind(1),9
music(1),7
rather(2),10
just(1),24
mix(2),1
label(3),2
design(2),9
for(1),241
taste(1),4
fashion(3),6
precise(4),1
department(2),1
store(1),4
manage(3),2
appeal(3),5
successful(2),5
middle-aged(9),1
woman(1),12
without(2),19
lose(2),11
create(2),22
environment(2),2
where(1),33
need(1),17
effective(2),4
onion(2),18
divide(2),2
two(1),22
fresh(1),16
storage(5),7
available(3),5
red(1),8
white(1),6
throughout(2),5
march(1),2
identify(4),2
light-colored(9),1
because(1),47
high(1),29
water(1),37
typically(9),6
sweet(1),3
mild(4),2
content(4),2
easy(1),4
its(1),56
delicate(4),1
ideal(3),1
choice(2),4
salad(2),1
other(1),49
lightly-cooked(9),1
august(1),3
unlike(9),1
multiple(4),2
layer(5),3
papery(9),1
intense(4),1
flavor(3),2
percentage(4),1
best(1),10
spicy(4),1
dish(1),1
require(2),9
long(1),24
cook(1),2
time(1),37
profit(3),1
health(1),8
risk(3),8
result(2),10
inappropriate(9),1
bottle(2),8
bacteria(3),3
multiply(2),1
shelf(2),3
too(1),11
expose(4),4
heat(1),3
direct(1),3
since(1),23
information(4),8
shipment(9),1
readily(9),2
may(1),44
alternative(6),2
tap(3),2
safety(2),4
contribute(4),2
global(3),7
estimate(4),2
million(2),11
ton(3),3
carbon(5),2
dioxide(9),1
generate(6),2
production(4),4
plastic(3),5
produce(2),5
incredible(9),1
amount(2),7
solid(3),2
accord(6),13
one(1),59
used(2),27
recycle(4),1
lie(1),5
age(1),10
dinosaur's.(9),1
island(2),7
new(1),42
grasshopper-like(9),1
species(4),5
insect(2),3
found(3),21
nowhere(5),1
else(1),2
zealanders(9),1
give(1),29
nickname(3),1
which(1),57
native(3),3
maori(9),1
word(1),4
meaning(2),3
bad(1),7
it's(9),5
see(1),17
anyone(2),3
would(9),47
call(1),21
bad-looking(9),1
most(1),46
feel(1),10
disgust(4),1
at(1),83
sight(1),1
slow-moving(9),1
nocturnal(9),1
come(1),33
out(1),30
cave(2),1
hole(1),3
after(1),49
giant(2),5
weta(9),2
grow(1),16
three(1),12
inch(1),1
weigh(1),2
much(1),17
wetas(9),4
hop(2),1
foot(1),10
some(1),53
live(1),19
others(9),6
very(1),23
long-lived(9),1
like(1),27
cousin(2),1
grasshopper(3),1
able(1),8
rub(1),2
leg(1),2
against(1),12
lower(2),6
probably(9),5
don't(9),11
sympathy(4),1
endanger(4),2
but(1),75
slow(1),5
clumsy(4),1
around(1),18
evolve(6),2
survive(2),2
no(1),22
enemy(2),1
until(1),11
rat(1),3
european(9),2
love(1),10
hunt(2),3
eat(1),14
population(2),9
real(1),9
problem(1),15
many(1),54
unaccustomed(9),1
pose(2),9
serious(2),10
threat(3),6
school(1),20
prom(9),5
first(1),43
formal(2),4
social(2),7
event(2),5
american(9),14
rite(6),1
passage(3),1
americans(9),1
nearly(2),7
refer(4),3
dance(1),6
guest(1),2
party(1),1
display(2),3
skill(1),2
during(1),20
evening's(9),1
grand(1),1
unite(3),11
parents(1),7
educators(9),1
regard(2),3
important(1),18
proms(9),7
hold(1),14
year(1),19
student(1),18
proper(3),1
common(1),13
across(1),10
old(1),5
home-grown(9),1
affair(2),1
prom-goers(9),2
well(1),9
dress(2),2
fancily(9),1
boy(1),7
wear(1),31
jacket(2),2
tie(1),1
girl(1),4
sunday(1),1
couple(2),4
provide(2),11
local(2),8
amateur(4),1
band(1),3
record(2),7
especially(2),4
area(1),19
become(1),37
exercise(2),9
excessive(6),3
rent(3),2
expensive(2),4
tuxedos(9),1
designer(3),2
stretch(2),4
limousine(6),1
hire(2),1
drive(1),12
restaurant(2),5
disco(3),1
all-night(9),1
simple(1),9
less(1),10
traumatic(9),1
adolescent(5),1
worry(1),6
about(1),53
self-image(9),2
fit(2),1
night(1),2
dreadful(5),1
experience(2),10
socially(9),1
awkward(4),1
teens(2),1
secure(5),1
organize(2),3
meet(1),5
particular(2),8
homeless(9),1
youth(2),1
"""couple-free""(9)",1
all(1),46
budget(3),1
your(1),33
try(1),10
home(1),15
house(1),19
agree(1),1
use(1),34
other's(9),1
save(1),4
buck(1),1
car(1),14
exchange(3),3
least(1),8
facilitate(6),2
such(1),38
arrangement(2),1
trade(2),11
online(9),7
gain(2),4
popularity(4),5
several(1),12
sit(1),10
including(4),4
company(2),13
bill(2),5
itself(9),3
world's(9),4
large(1),14
report(1),17
membership(3),1
increase(2),10
annual(4),4
fee(2),1
access(4),4
thousand(1),10
list(1),5
suburban(6),1
farm(1),2
initial(4),4
contact(2),5
via(5),2
"e-mail,(9)",1
subsequent(6),2
communication(4),3
before(1),18
match(1),2
potential(5),4
swappers(9),3
tend(3),7
discuss(2),3
concept(4),2
sound(1),6
risky(9),1
reasonable(3),1
cause(1),19
equally(9),2
swapper(9),1
put(1),10
fly(1),3
ocean(1),6
mile(1),4
steal(2),2
they're(9),3
stay(1),6
recommend(5),4
matter(1),7
ahead(1),1
fill(1),4
agreement(1),4
spelling(2),1
shoulder(1),2
responsibility(3),1
exchangers(9),2
big(1),6
complaint(3),1
among(1),11
different(1),26
standard(2),3
suppose(3),1
sure(1),4
order(1),9
person's(9),6
idea(1),8
forgive(2),1
another's.(9),1
owner(2),3
say(1),18
back(1),18
less-than-sparkling(9),1
inconvenient(9),1
sour(1),1
future(2),7
promote(3),7
bekoji(9),4
small(1),24
town(1),3
farmer(1),4
herders(9),1
ethiopian(9),1
almost(1),5
stand(1),6
horse-drawn(9),1
cart(2),1
outnumber(6),1
motor(3),2
consistently(9),1
yield(5),1
distance(2),7
runners.it's(9),1
when(1),84
breathe(3),2
thin(2),3
air(1),1
focus(2),7
special(1),10
condition(3),3
side(1),2
volcano(4),1
above(1),4
sea(1),13
daily(2),2
high-altitude(9),1
child(1),31
region(2),6
start(1),13
run(1),16
cover(1),9
great(1),20
fetch(4),3
firewood(9),1
reach(1),10
near(1),5
add(1),5
train(1),8
physical(4),7
trait(6),2
advantageous(9),1
strong(1),8
desire(2),2
burn(2),3
inside(1),8
bekoji's(9),2
take(1),43
case(1),3
force(1),7
quit(2),1
fifth(9),2
grade(2),2
father(1),8
abate(9),2
work(1),29
shoe-shine(9),1
saw(1),6
hope(1),3
join(1),2
santayehu(9),1
eshetu's(9),1
18-year-old(9),1
sprint(5),1
finish(1),1
12-mile(9),1
bare(3),2
coach(2),2
nikes(9),1
hand(1),10
help(1),26
arrange(2),2
motel(3),1
job(1),7
pay(1),7
offer(2),7
generation(4),5
way(1),25
legend(4),1
derartu(9),2
"10,000-meter(9)",1
olympic(9),2
gold(1),5
medal(3),3
national(2),6
government(2),8
she(1),66
dollar(1),4
sign(2),6
kid(1),3
village(2),6
surround(3),5
move(1),15
crowd(2),3
classrooms(9),2
elementary(4),4
eshetu(9),1
physical-education(9),1
day(1),21
could(9),29
another(1),11
scarcely(4),1
lin(9),1
publish(4),4
five(1),13
novel(2),3
pad(3),1
warm(1),5
bath(1),2
sometimes(1),7
pain(2),2
late(1),12
last(1),17
drink(1),19
lot(1),12
coffee(1),2
morning(1),1
price(1),4
we(1),38
item(2),3
culture(2),8
tribal(4),3
fear(1),5
soon(1),10
die(1),3
smell(1),8
i(1),29
walk(1),8
loaf(2),1
attend(2),5
broke(4),1
seven(1),2
eight(1),1
men's(9),1
swim(1),2
college(3),4
orphanage(5),1
study(1),7
receive(1),10
any(1),20
ask(1),13
trash(3),7
responsible(2),5
scold(4),2
boss(2),1
ten(1),7
minute(1),11
happy(1),5
being(3),23
orange(1),1
tree(1),21
suffer(3),8
damage(2),9
storm(2),1
expect(2),3
sharp(1),1
decline(6),2
harvest(3),2
morakot(9),2
claim(2),8
six(1),2
hundred(1),5
natural(2),6
taiwan(9),3
police(1),4
count(1),1
him(1),16
find(1),21
exactly(9),1
how(1),22
accident(3),3
injure(3),2
jason(9),1
send(1),7
hospital(2),3
popcorn(1),7
snack(2),4
rarely(9),1
fail(2),5
watch(1),3
movie(1),4
popular(3),12
carry(1),6
unhappy(9),1
research(4),5
now(1),16
microwave(3),2
contain(2),7
substance(3),1
researcher(4),17
commercial(3),3
coat(1),1
bag(1),1
chemical(2),6
perfluorooctanoic(9),1
acid(4),1
cancer(2),4
lung(3),2
disease(3),7
laboratory(4),4
artificial(4),4
butter(1),2
substitute(5),3
generally(9),8
microwavable(9),1
food-flavoring(9),1
healthy(2),3
nutritionists(9),1
suggest(3),4
pop(1),4
our(1),38
four(1),9
tablespoons(9),1
vegetable(1),2
oil(1),16
handful(3),1
organic(4),1
kernel(6),2
shake(1),2
pot(2),2
let(1),6
steam(2),1
escape(3),3
unpopped(9),1
fall(1),10
remove(3),5
then(1),24
pour(3),1
bowl(1),1
season(1),10
olive(5),14
fun(1),6
ready(1),3
wrap(3),3
think(1),15
pyramid(5),4
closely(9),1
relate(3),5
egyptian(9),1
religious(3),5
ancient(2),12
egyptians(9),3
believe(1),22
firmly(9),1
person(1),12
soul(1),2
thought(1),9
travel(2),9
series(5),2
judgment(2),1
progress(2),1
next(1),5
body(1),18
learned(4),3
preserve(4),2
dry(1),9
build(1),11
tomb(4),2
pharaoh's(9),1
together(1),5
priceless(5),1
accompany(4),2
musical(3),3
mamma(9),2
public(1),5
appearance(2),2
welcome(1),3
ever(1),2
audience(3),5
literally(9),1
seat(1),1
sing(1),13
entertainment(4),2
story(1),16
perform(3),5
nine(1),10
worldwide(9),3
mainly(9),5
due(3),7
theme(4),2
showcases(9),1
abba's(9),1
timeless(9),1
song(1),15
vital(4),2
retain(4),1
essence(6),1
good(1),13
film(2),2
version(6),3
one's(9),6
similar(2),5
useful(1),2
mankind(3),1
yet(1),3
latter(3),2
diamond-water(9),1
classic(2),2
answer(1),3
supply(2),4
rare(2),6
diamond(2),2
limit(2),9
demand(4),4
term(2),7
conspicuous(9),1
consumption(6),2
scarcity(9),2
goods(4),4
human(1),16
attribute(9),2
unending(9),1
abundance(6),1
wouldn't(9),1
value(2),7
monetary(9),1
even(1),29
though(1),10
long-held(9),1
belief(2),7
meeting(2),3
eye(1),10
unfortunate(9),1
tendency(4),2
stare(3),1
fixedly(9),1
behavior(4),2
likely(1),9
interviewer(9),1
us(1),14
comfortable(2),2
few(1),11
persist(5),1
widely(9),5
accept(2),6
powerful(2),3
dominance(9),1
touch(1),5
variety(3),4
lower-status(9),1
initiate(5),3
men(9),10
rapid(2),1
speech(1),3
widespread(5),2
react(3),4
fast(1),4
opposite(3),3
lace(3),1
pause(3),1
reliable(3),2
indicator(9),2
friend(1),5
animal(1),14
elephant(1),7
sense(1),3
vision(3),4
difference(2),3
between(1),27
differently(9),3
maasai(9),5
kamba(9),4
ethnic(6),1
spear(4),1
thus(1),10
danger(1),4
experiment(3),4
conduct(5),3
present(2),1
clean(1),5
either(1),7
detect(2),7
away(1),7
relax(3),3
garment(5),2
color(1),13
act(1),3
aggressively(9),1
toward(1),6
elephants'(9),1
emotional(4),1
reaction(3),1
interpretation(5),1
means(2),8
nearby(2),1
thing(1),19
instead(3),5
express(2),2
anger(1),1
therapy(6),3
something(1),9
dream(1),10
intensive(4),1
deborah(9),7
duffey(9),1
compete(3),4
basketball(1),2
goal(2),2
outstanding(4),1
ball(1),1
never(1),17
far(1),7
deborah's(9),4
mill(3),2
left(1),8
lead(1),10
possession(4),2
guard(2),2
shuffled(9),1
sideways(9),1
block(1),3
knee(1),2
collapse(4),1
court(2),4
situation(3),3
beyond(2),5
nothing(1),6
sidelines(9),1
injury(3),2
hurt(1),3
spend(1),8
