word,frequentcy
textese(9),6
know(1),11
as(1),219
texting(9),1
or(1),140
txt(9),1
is(1),353
a(1),648
term(2),12
for(1),238
the(1),1680
abbreviation(6),1
and(1),664
slang(6),1
most(1),75
commonly(9),2
used(2),41
among(1),19
young(1),20
people(1),64
popularity(4),3
of(1),772
largely(4),2
due(3),6
to(1),760
necessary(2),4
brevity(9),1
mobile(3),5
phone(2),2
text(3),1
though(1),10
its(1),52
use(1),54
also(1),66
very(1),18
common(1),14
on(1),151
including(4),11
e-mail(4),2
instant(2),4
there(1),44
are(1),230
no(1),26
standard(2),3
rule(1),6
write(1),18
practice(1),11
single(2),7
number(1),16
represent(3),1
whole(1),10
picture(1),4
symbol(2),5
heart(1),11
letter(1),4
replace(3),8
word(1),17
which(1),72
have(1),258
user(2),6
often(1),36
remove(3),7
vowel(4),1
from(1),109
reader(9),2
force(1),9
interpret(4),4
string(2),1
consonant(4),1
by(1),117
re-adding(9),1
become(1),30
must(1),16
abbreviate(6),2
depend(2),2
context(4),1
in(1),641
it(1),163
many(1),59
example(1),7
phrase(2),2
same(1),20
so(1),33
if(1),32
someone(1),9
say(1),20
they(1),167
probably(9),4
mean(1),7
you(1),49
lot(1),7
not(1),87
laugh(1),3
out(1),49
likely(1),13
my(1),6
emergence(9),1
clearly(9),1
desire(2),1
type(2),13
less(1),13
communicate(3),1
more(1),70
quickly(9),12
than(1),48
one(1),69
can(1),93
manage(3),3
without(2),12
such(1),50
yet(1),8
be(1),421
severely(9),2
criticize(4),3
our(1),18
some(1),58
scholar(3),3
even(1),43
consider(2),12
essentially(9),1
lazy(1),1
they're(9),4
worry(1),5
that(1),240
habit(2),3
gain(2),7
while(1),25
will(1),40
result(2),18
students'(9),5
grow(1),16
ignorance(3),1
proper(3),2
grammar(4),1
do(1),59
trouble(1),2
get(1),31
start(1),21
problem(1),8
learning(4),15
early(1),16
cockroach(2),8
learn(1),10
better(1),12
at(1),96
night(1),8
investigate(3),2
when(1),73
researcher(4),15
vanderbilt(9),1
university(4),12
test(2),4
insect(2),5
odor(5),5
prefer(2),4
smell(1),21
vanilla(6),3
peppermint(9),3
all(1),58
found(3),32
like(1),36
sugar(1),4
but(1),77
salt(1),7
scientist(2),22
train(1),11
reward(4),2
with(1),181
taste(1),5
water(1),12
approach(3),3
these(1),48
move(1),7
toward(1),3
other(1),55
punish(2),2
remember(1),1
new(1),52
association(4),4
up(1),30
forget(1),1
go(1),22
this(1),108
thus(1),8
show(1),36
time(1),26
decide(1),7
effect(2),7
their(1),151
active(2),4
tend(3),6
search(2),4
food(1),18
during(1),22
because(1),21
information(4),5
gather(2),2
useful(1),1
experiment(3),5
provide(2),15
clue(3),2
about(1),48
interaction(4),1
between(1),16
body(1),11
comparison(3),3
sun(1),7
an(1),109
extraordinarily(9),2
powerful(2),3
source(2),8
earth(1),5
receive(1),14
energy(2),10
we(1),30
currently(9),3
heat(1),4
could(9),33
supply(2),6
power(1),12
need(1),30
throughout(2),12
harness(5),3
solar(4),4
satellite(4),1
space(1),8
equip(4),3
large(1),20
panel(4),2
whose(1),6
cell(2),3
transform(4),1
sunlight(9),1
directly(9),4
into(1),38
electric(3),3
cover(1),6
glass(1),5
paint(1),4
black(1),7
inside(1),6
absorb(4),1
much(1),17
begin(1),11
clean(1),2
fossil(4),6
oil(1),5
release(3),6
harmful(3),4
substance(3),2
air(1),4
what's(9),2
fuel(4),1
run(1),24
continue(1),6
reach(1),5
long(1),23
after(1),29
last(1),11
coal(2),1
mine(2),1
well(1),12
sign(2),8
ask(1),12
visitor(2),13
keep(1),19
hand(1),6
off(1),14
art(1),15
everywhere(9),2
louvre(9),1
special(1),8
sculpture(4),1
gallery(4),1
invite(2),5
lover(2),3
allow(1),19
over(1),31
louvre's(9),1
tactile(9),1
target(2),2
blind(2),2
visually(9),1
only(1),38
museum(2),7
where(1),25
touch(1),4
guard(2),3
alarm(2),5
stop(1),6
latest(2),2
exhibit(4),7
collection(3),5
sculpted(9),1
horse(1),3
animal(1),31
reproductions(9),1
famous(2),9
work(1),32
elsewhere(4),1
call(1),18
feature(3),5
king(1),3
emperor(3),1
history(1),7
symbolize(6),1
greatness(9),1
open(1),10
december(1),2
schedule(3),4
three(1),12
guide(1),2
tour(2),7
child(1),11
explore(4),4
blindfolds(9),1
following(2),7
report(1),6
appear(1),12
newspaper(1),10
february(1),3
hundred(1),8
come(1),21
york(9),6
city's(9),1
railroad(1),1
central(2),11
trade(2),3
old(1),15
dollar(1),3
bill(2),3
george(9),3
washington(9),2
presidential(6),4
us(1),11
gold-colored(9),1
coin(2),13
first(1),46
series(5),7
mint(5),2
honor(3),3
former(2),7
issue(5),11
four(1),10
year(1),37
through(2),21
order(1),11
each(1),25
president(2),9
john(9),6
thomas(9),1
jefferson(9),1
jam(1),2
madison(9),1
late(1),13
since(1),25
carve(4),5
edge(1),2
traditional(2),9
different(1),23
head(1),4
president's(9),1
side(1),4
statue(3),2
liberty(3),1
inscriptions(9),1
state(1),17
interest(1),11
fact(1),3
except(1),2
grover(9),1
he(1),97
cleveland(9),1
serve(1),11
two(1),30
nonconsecutive(9),1
now(1),19
gerald(9),1
that's(9),4
cannot(9),11
still(1),17
deceased(9),3
before(1),23
try(1),16
thing(1),10
seemingly(9),2
nonstop(9),1
decline(6),2
france(9),3
push(1),4
forward(2),1
novel(2),7
give(1),34
away(1),7
paper(1),12
readers(9),3
effort(2),3
turn(1),11
them(1),36
regular(2),3
french(9),10
government(2),13
recently(9),3
detail(3),2
plan(1),10
project(2),4
free(1),10
under(1),6
18-(9),1
24-year-olds(9),1
offer(2),13
year-long(9),1
subscription(6),1
readership(9),1
especially(2),6
low(1),7
accord(6),11
percent(4),5
those(1),16
age(1),5
read(1),8
paid-for(9),1
daily(2),12
down(1),11
decade(3),5
media(3),3
editor(3),1
le(9),1
second-largest(9),1
national(2),17
strong(1),8
reservation(4),1
advertise(3),9
steep(3),1
should(9),20
instead(3),6
look(1),13
way(1),21
raise(1),10
profit(3),2
rather(2),7
just(1),18
reinforce(6),1
belief(2),4
bad(1),4
schwartzenberg(9),1
already(1),7
plenty(3),1
option(6),1
website(4),1
city(1),6
bloggers(9),1
program(3),9
might(3),12
hold(1),17
appeal(3),1
few(1),19
who(1),54
promote(3),4
campaign(4),3
aim(2),5
how(1),33
attract(3),7
print(1),2
primary(3),4
channel(3),4
ads(9),5
would(9),29
average(3),4
coffee(1),9
expert(2),2
willing(2),1
pay(1),11
sum(3),2
money(1),9
high-quality(9),1
high-end(9),1
kona(9),1
blue(1),2
cost(1),5
extraordinary(5),2
then(1),20
kopi(9),6
lowak(9),6
world's(9),14
expensive(2),4
sell(1),7
per(2),3
quarter-pound.this(9),1
isn't(9),6
particularly(9),4
approximately(9),2
pound(2),1
constitute(4),1
entire(2),3
world(1),26
what(1),31
surprise(1),5
why(1),12
particular(2),2
it's(9),10
plant(1),6
civet(9),4
waste(1),6
palm(2),5
bean(2),5
aren't(9),1
until(1),8
they've(9),1
digest(4),3
civets(9),3
"tree-dwelling,(9)",1
raccoon-like(9),1
little(1),10
native(3),1
southeast(9),3
asia(9),3
indonesian(9),3
love(1),2
eat(1),10
fruit(1),2
outer(3),2
