ab,year,questionType,title,word,words,count,level,pos,fromChoices
A,100,C,A-100-C-Q31to40,is,is,5,1,v.,0
A,100,C,A-100-C-Q31to40,one,one,1,1,n./adj./pron.,0
A,100,C,A-100-C-Q31to40,of,of,5,9,,0
A,100,C,A-100-C-Q31to40,the,the,14,1,art.,0
A,100,C,A-100-C-Q31to40,snack,snacks;snack,3,2,n./v.,0
A,100,C,A-100-C-Q31to40,that,that,7,1,pron./adj./adv./conj.,0
A,100,C,A-100-C-Q31to40,rarely,rarely,1,9,,0
A,100,C,A-100-C-Q31to40,fail,fail,1,2,v./n.,0
A,100,C,A-100-C-Q31to40,to,to,7,1,prep.,0
A,100,C,A-100-C-Q31to40,make,make;Making,2,1,v.,0
A,100,C,A-100-C-Q31to40,watch,watching,1,1,n.,0
A,100,C,A-100-C-Q31to40,a,a,7,1,art.,0
A,100,C,A-100-C-Q31to40,movie,movie,1,1,n.,0
A,100,C,A-100-C-Q31to40,more,more,1,1,adj./pron./adv.,0
A,100,C,A-100-C-Q31to40,modern,modern,1,2,adj.,0
A,100,C,A-100-C-Q31to40,way,way,1,1,n.,0
A,100,C,A-100-C-Q31to40,prepare,preparing,1,1,v.,0
A,100,C,A-100-C-Q31to40,this,this;This,2,1,pron./adj./adv.,0
A,100,C,A-100-C-Q31to40,popular,popular,1,3,adj./n.,0
A,100,C,A-100-C-Q31to40,may,may,2,1,n.,0
A,100,C,A-100-C-Q31to40,carry,carry,1,1,v.,0
A,100,C,A-100-C-Q31to40,an,an,2,1,art.,0
A,100,C,A-100-C-Q31to40,unhappy,unhappy,1,9,,0
A,100,C,A-100-C-Q31to40,research,Research,1,4,n./v.,0
A,100,C,A-100-C-Q31to40,by,by,1,1,prep./adv.,0
A,100,C,A-100-C-Q31to40,government,government,1,2,n.,0
A,100,C,A-100-C-Q31to40,now,now,1,1,adv./n.,0
A,100,C,A-100-C-Q31to40,report,reports,1,1,v./n.,0
A,100,C,A-100-C-Q31to40,microwave,microwave,2,3,n./v.,0
A,100,C,A-100-C-Q31to40,popcorn,popcorn,6,1,n.,0
A,100,C,A-100-C-Q31to40,contain,contain;contains,2,2,v.,0
