baby,n.,1
baby-sit,v.,2
baby-sitter,n.,2
bachelor,n.,5
back,n./adj./adv./v.,1
backbone,n.,5
background,n.,3
backpack,n./v.,4
backward,adj.,2
backward,adv.,2
backwards,adv.,2
bacon,n.,3
bacteria,n.,3
bad,adj.,1
badge,n.,5
badly,adv.,3
badminton,n.,3
bag,n.,1
baggage,n.,3
bait,n./v.,3
bake,v.,2
bakery,n.,2
balance,n./v.,3
balcony,n.,2
bald,adj.,4
ball,n./v.,1
ballet,n.,4
balloon,n./v.,1
ballot,n./v.,5
bamboo,n.,2
ban,v./n.,5
banana,n.,1
band,n.,1
bandage,n./v.,3
bandit,n.,5
bang,n./v./adv.,3
bank,n.,1
bank,n./v.,1
banker,n.,2
bankrupt,adj./n./v.,4
banner,n.,5
banquet,n./v.,5
bar,n./v.,1
barbarian,n./adj.,5
barbecue,n./v.,2
BBQ,n./v.,2
barber,n.,1
barbershop,n.,5
bare,adj./v.,3
barefoot,adj./adv.,5
barely,adv.,3
bargain,n./v.,4
bark,n./v.,2
bark,n.,2
barn,n.,3
barometer,n.,6
barrel,n.,3
barren,adj.,5
barrier,n.,4
base,n./v.,1
baseball,n.,1
basement,n.,2
basic,adj.,1
basics,n.,2
basin,n.,4
basis,n.,2
basket,n.,1
basketball,n.,1
bass,n./adj.,5
bat,n./v.,1
bat,n.,1
batch,n.,5
bath,n.,1
bathe,v.,1
bathroom,n.,1
batter,v./n.,5
battery,n.,4
battle,n./v.,2
bay,n.,3
bazaar,n.,5
be,v.,1
beach,n./v.,1
bead,n./v.,2
beak,n.,4
beam,v.,3
beam,n.,4
bean,n.,2
bear,n.,1
bear,v.,2
beard,n.,2
beast,n.,3
beat,v./n.,1
beautiful,adj.,1
beautify,v.,5
beauty,n.,1
because,conj.,1
beckon,v.,6
become,v.,1
bed,n.,1
bedroom,n.,2
bee,n.,1
beef,n.,2
beep,n./v.,2
beer,n.,2
beetle,n.,2
before,conj./prep./adv.,1
beforehand,adv.,5
