cabbage,n.,2
cabin,n.,3
cabinet,n.,4
cable,n./v.,2
cactus,n.,5
caf?,n.,2
cafe,n.,2
cafeteria,n.,2
caffeine,n.,6
cage,n./v.,1
cake,n.,1
calcium,n.,6
calculate,v.,4
calculation,n.,4
calculator,n.,4
calendar,n.,2
calf,n.,5
calf,n.,5
call,v./n.,1
calligraphy,n.,5
calm,adj./n./v.,2
calorie,n.,4
camel,n.,1
camera,n.,1
camp,n./v.,1
campaign,n./v.,4
campus,n.,3
can,v.(aux.),1
can,n./v.,1
canal,n.,5
cancel,v.,2
cancer,n.,2
candidate,n.,4
candle,n.,2
candy,n.,1
sweet,n.,1
cane,n.,3
cannon,n./v.,5
canoe,n./v.,3
canvas,n./v.,6
canyon,n.,3
cap,n./v.,1
capability,n.,6
capable,adj.,3
capacity,n.,4
cape,n.,4
capital,n./adj.,3
capital,n.,4
capitalism,n.,4
capitalist,n.,4
capsule,n.,6
captain,n.,2
caption,n./v.,6
captive,n./adj.,6
captivity,n.,6
capture,v./n.,3
car,n.,1
carbohydrate,n.,6
carbon,n.,5
card,n.,1
cardboard,n.,5
care,n./v.,1
career,n.,4
carefree,adj.,5
careful,adj.,1
caress,v./n.,6
caretaker,n.,5
cargo,n.,4
carnation,n.,5
carnival,n.,5
carol,n.,6
carp,n.,5
carpenter,n.,3
carpet,n./v.,2
carriage,n.,3
carrier,n.,4
carrot,n.,2
carry,v.,1
cart,n./v.,2
carton,n.,5
cartoon,n./v.,2
carve,v.,4
case,n.,1
case,n./v.,1
cash,n./v.,2
cashier,n.,6
cassette,n.,2
cast,v./n.,3
cast,n./v.,3
castle,n.,2
casual,adj.,3
casualty,n.,6
cat,n.,1
catalogue,n./v.,4
catalog,n./v.,4
catastrophe,n.,6
catch,v./n.,1
category,n.,5
cater,v.,6
caterpillar,n.,3
cathedral,n.,5
cattle,n.,3
cause,n./v.,1
caution,n./v.,5
cautious,adj.,5
cavalry,n.,6
cave,n./v.,2
cavity,n.,6
CD,n.,4
compact,n.,4
disk,n.,4
cease,v./n.,4
ceiling,n.,2
celebrate,v.,3
celebration,n.,4
celebrity,n.,5
celery,n.,5
cell,n.,2
cellar,n./v.,5
cello,n.,5
cell-phone,n.,5
cellphone,n.,5
cellular phone,n.,5
mobile phone,n.,5
Celsius,n.,5
Centigrade,n.,5
centigrade,n.,5
cement,n./v.,4
cemetery,n.,6
cent,n.,1
center,n./v.,1
centimeter,n.,3
central,adj.,2
century,n.,2
ceramic,adj./n.,3
cereal,n.,2
ceremony,n.,5
certain,adj./pron.,1
certainty,n.,6
certificate,n./v.,5
certify,v.,6
chain,n./v.,3
chair,n./v.,1
chairperson,n.,5
chair,n.,5
chairman,n.,5
chairwoman,n.,5
chalk,n./v.,2
challenge,n./v.,3
chamber,n.,4
champagne,n.,6
champion,n.,3
championship,n.,4
chance,n./v.,1
change,v./n.,2
change,n.,2
changeable,adj.,3
channel,n./v.,3
chant,n./v.,5
chaos,n.,6
chapter,n.,3
character,n.,2
characteristic,adj./n.,4
characterize,v.,6
charcoal,n.,6
charge,v./n.,2
chariot,n./v.,6
charitable,adj.,6
charity,n.,4
charm,n./v.,3
chart,n./v.,1
chase,v./n.,1
chat,v./n.,3
chatter,v./n.,5
cheap,adj./adv.,2
cheat,v./n.,2
check,v./n.,1
checkbook,n.,5
check-in,n.,5
check-out,n.,5
checkup,n.,5
cheek,n.,3
cheer,n./v.,3
cheerful,adj.,3
cheese,n.,3
chef,n.,5
chemical,adj./n.,2
chemist,n.,5
chemistry,n.,4
cherish,v.,4
cherry,n./adj,3
chess,n.,2
chest,n.,3
chestnut,n./adj.,5
chew,v./n.,3
chick,n.,1
chicken,n.,1
chief,adj./n.,1
child,n.,1
childhood,n.,3
childish,adj.,2
childlike,adj.,2
chili,n.,5
chill,n./v./adj.,3
chilly,adj.,3
chimney,n.,3
chimpanzee,n.,5
chin,n.,2
chip,n./v.,3
chirp,v./n.,4
chocolate,n.,2
choice,n./adj.,2
choir,n.,5
choke,v./n.,3
cholesterol,n.,6
choose,v.,2
chop,v./n.,3
chopstick,n.,2
chopsticks,n.,2
chord,n.,5
chore,n.,4
chorus,n.,4
Christmas,n.,1
Xmas,n.,1
chronic,adj.,6
chubby,adj.,5
chuckle,v./n.,6
chunk,n.,6
church,n.,1
cigar,n.,4
cigarette,n.,3
cinema,n.,4
circle,n./v.,2
circuit,n.,5
circular,adj.,4
circulate,v.,4
circulation,n.,4
circumstance,n.,4
circus,n.,3
cite,v.,5
citizen,n.,2
city,n.,1
civic,adj.,5
civil,adj.,3
civilian,n./adj.,4
civilization,n.,4
civilize,v.,6
claim,v./n.,2
clam,n.,5
clamp,v./n.,6
clan,n.,5
clap,v./n.,2
clarify,v.,4
clarity,n.,6
clash,n./v.,4
clasp,n./v.,5
class,n./v.,1
classic,adj./n.,2
classical,adj.,3
classification,n.,4
classify,v.,4
clause,n.,5
claw,n./v.,2
clay,n.,2
clean,adj./v./adv./n.,1
cleaner,n.,2
cleanse,v.,6
clear,adj./v./adv.,1
clearance,n.,6
clench,v./n.,6
clerk,n.,2
clever,adj.,2
click,v./n.,3
client,n.,3
cliff,n.,4
climate,n.,2
climax,n./v.,4
climb,v./n.,1
cling,v.,5
clinic,n.,3
clinical,adj.,6
clip,n./v.,3
clock,n.,1
clockwise,adv./adj.,5
clone,n./v.,6
close,adj./adv.,1
close,v./n.,1
closet,n.,2
closure,n.,6
cloth,n.,2
clothe,v.,2
clothes,n.,2
clothing,n.,2
cloud,n./v.,1
cloudy,adj.,2
clover,n.,5
clown,n./v.,2
club,n./v.,2
clue,n.,3
clumsy,adj.,4
cluster,n./v.,5
clutch,v./n.,5
coach,n./v.,2
coal,n.,2
coarse,adj.,4
coast,n.,1
coastline,n.,5
coat,n./v.,1
cock,n.,2
cockroach,n.,2
roach,n.,2
cocktail,n.,3
cocoa,n.,1
