daddy,n.,1
dad,n.,1
papa,n.,1
pa,n.,1
pop,n.,1
daffodil,n.,6
daily,adj./adv./n.,2
dairy,n.,3
dam,n./v.,3
damage,n./v.,2
damn,v./n.,4
damp,adj./n./v.,4
dance,v./n.,1
dancer,n.,1
dandruff,n.,6
danger,n.,1
dangerous,adj.,2
dare,v./aux.,3
dark,adj./n.,1
darling,n./adj.,3
dart,n./v.,5
dash,v./n.,3
data,n.,2
date,n./v.,1
daughter,n.,1
dawn,n./v.,2
day,n.,1
daybreak,n.,6
dazzle,v./n.,5
dead,adj.,1
deadline,n.,4
deadly,adj./adv.,6
deaf,adj.,2
deafen,v.,3
deal,v./n.,1
dealer,n.,3
dear,adj./n./adv.,1
death,n.,1
debate,n./v.,2
debt,n.,2
decade,n.,3
decay,v./n.,5
deceive,v.,5
December,n.,1
Dec.,n.,1
decent,adj.,6
decide,v.,1
decision,n.,2
decisive,adj.,6
deck,n.,3
declaration,n.,5
declare,v.,4
decline,v./n.,6
decorate,v.,2
decoration,n.,4
decrease,v./n.,4
dedicate,v.,6
dedication,n.,6
deed,n.,3
deem,v.,6
deep,adj./adv.,1
deepen,v.,3
deer,n.,1
defeat,v./n.,4
defect,n./v.,6
defend,v.,4
defense,n.,4
defensible,adj.,4
defensive,adj.,4
deficiency,n.,6
define,v.,3
definite,adj.,4
definition,n.,3
degrade,v.,6
degree,n.,2
delay,v./n.,2
delegate,n./v.,5
delegation,n.,5
deliberate,adj./v.,6
delicate,adj.,4
delicious,adj,2
delight,n./v.,4
delightful,adj.,4
delinquent,n./adj.,6
deliver,v.,2
delivery,n.,3
demand,n./v.,4
democracy,n.,3
democrat,n.,5
democratic,adj.,3
demonstrate,v.,4
demonstration,n.,4
denial,n.,5
denounce,v.,6
dense,adj.,4
density,n.,6
dental,adj.,6
dentist,n.,2
deny,v.,2
depart,v.,4
department,n.,2
departure,n.,4
depend,v.,2
dependable,adj.,4
dependent,adj./n.,4
depict,v.,6
deposit,n./v.,3
depress,v.,4
depression,n.,4
deprive,v.,6
depth,n.,2
deputy,n.,6
derive,v.,6
descend,v.,6
descendant,n.,6
descent,n.,6
describe,v.,2
description,n.,3
descriptive,adj.,5
desert,n.,2
desert,v.,2
deserve,v.,4
design,n./v.,2
designate,v./adj.,6
designer,n.,3
desirable,adj.,3
desire,n./v.,2
desk,n.,1
despair,n./v.,5
desperate,adj.,4
despise,v.,5
despite,prep.,4
dessert,n.,2
destination,n.,5
destined,adj.,6
destiny,n.,5
destroy,v.,3
destruction,n.,4
destructive,adj.,5
detach,v.,6
detail,n./v.,3
detain,v.,6
detect,v.,2
detective,n./adj.,4
deter,v.,6
detergent,n.,5
deteriorate,v.,6
determination,n.,4
determine,v.,3
devalue,v.,6
develop,v./(n.),2
development,v./(n.),2
device,n.,4
devil,n.,3
devise,v.,4
devote,v.,4
devotion,n.,5
