gain,v./n.,2
galaxy,n.,6
gallery,n.,4
gallon,n.,3
gallop,n./v.,5
gamble,v./n.,3
game,n.,1
gang,n./v.,3
gangster,n.,4
gap,n.,3
garage,n./v.,2
garbage,n.,2
garden,n./v.,1
gardener,n.,2
garlic,n.,3
garment,n.,5
gas,n./v.,1
gasoline,n.,3
gasolene,n.,3
gas,n.,3
gasp,v./n.,5
gate,n.,2
gather,v.,2
gathering,n.,5
gay,adj./n.,5
gaze,v./n.,4
gear,n./v.,4
gender,n.,5
gene,n.,4
general,adj.,1
general,n.,2
generalize,v.,6
generate,v.,6
generation,n.,4
generator,n.,6
generosity,n.,4
generous,adj.,2
genetic,adj.,6
genetics,n.,6
genius,n.,4
gentle,adj.,2
gentleman,n.,2
genuine,adj.,4
geographical,adj.,5
geography,n.,2
geometry,n.,5
germ,n.,4
gesture,n./v.,3
get,v.,1
ghost,n.,1
giant,n./adj.,2
gift,n.,1
gifted,adj.,4
gigantic,adj.,4
giggle,v./n.,4
ginger,n.,4
giraffe,n.,2
girl,n.,1
give,v.,1
glacier,n.,5
glad,adj.,1
glamour,n.,6
glance,v./n.,3
glare,v./n.,5
glass,n.,1
glasses,n.,1
glassware,n.,6
gleam,n./v.,5
glee,n.,5
glide,v./n.,4
glimpse,n./v.,4
glisten,v./n.,6
glitter,v./n.,5
global,adj.,3
globe,n.,4
gloom,n./v.,5
gloomy,adj.,6
glorious,adj.,4
glory,n./v.,3
glove,n.,2
gloves,n.,2
glow,v./n.,3
glue,n./v.,2
GMO,n.,6
genetically modified organism,n.,6
gnaw,v.,5
go,v./n.,1
goal,n.,2
goat,n.,2
gobble,v.,5
god,n.,1
goddess,n.,1
gold,n./adj.,1
golden,adj.,2
golf,n./v.,2
good,adj./n./adv.,1
good-bye,n.,1
goodbye,n.,1
good-by,n.,1
goodby,n.,1
bye-bye,n.,1
bye,n.,1
goods,n.,4
goose,n.,1
gorge,n.,5
gorge,v.,5
gorgeous,adj.,5
gorilla,n.,5
gospel,n.,5
gossip,n./v.,3
govern,v.,2
government,n.,2
governor,n.,3
gown,n.,3
grab,v./n.,3
grace,n./v.,4
graceful,adj.,4
gracious,adj.,4
grade,n./v.,2
gradual,adj.,3
graduate,n./v.,3
graduation,n.,4
grain,n.,3
gram,n.,3
grammar,n.,4
grammatical,adj.,4
grand,adj.,1
grandchild,n.,1
granddaughter,n.,1
grandfather,n.,1
grandpa,n.,1
grandmother,n.,1
grandma,n.,1
grandson,n.,1
grant,v./n.,5
grape,n.,2
grapefruit,n.,4
graph,n./v.,6
graphic,adj./n.,6
grasp,v./n.,3
grass,n.,1
grasshopper,n.,3
grassy,adj.,2
grateful,adj.,4
gratitude,n.,4
grave,adj.,4
grave,n.,4
gravity,n.,5
gray,adj./n./v.,1
grey,adj./n./v.,1
graze,v.,5
grease,n./v.,5
greasy,adj.,4
great,adj./n.,1
greed,n.,5
greedy,adj.,2
green,adj./n./v.,1
greenhouse,n.,3
greet,v.,2
greeting,n.,4
greetings,n.,4
grief,n.,4
grieve,v.,4
grill,n./v.,6
grim,adj.,5
grin,v./n.,3
grind,v./n.,4
grip,v./n.,5
groan,v./n.,5
grocer,n.,6
grocery,n.,3
grope,v./n.,6
gross,adj./v./n.,5
ground,n./v.,1
group,n./v.,1
grow,v.,1
growl,v./n.,5
growth,n.,2
grumble,v./n.,5
guarantee,n./v.,4
guard,n./v.,2
guardian,n.,3
guava,n.,2
guerrilla,n.,6
guess,v./n.,1
guest,n./v.,1
guidance,n.,3
guide,n./v.,1
guideline,n.,5
guilt,n.,4
guilty,adj.,4
guitar,n.,2
gulf,n.,4
gulp,v./n.,5
gum,n.,3
gun,n./v.,1
gust,n./v.,5
gut,n./v.,5
guts,n./v.,5
guy,n.,2
gymnasium,n.,3
gym,n.,3
gypsy,n.,5
