jack,n./v.,5
jacket,n.,2
jade,n.,5
jail,n./v.,3
jam,n.,1
jam,v./n.,2
janitor,n.,5
January,n.,1
Jan.,n.,1
jar,n.,3
jasmine,n.,5
jaw,n./v.,3
jaywalk,v.,5
jazz,n./v.,2
jealous,adj.,3
jealousy,n.,4
jeans,n.,2
jeep,n.,2
jeer,v./n.,5
jelly,n.,3
jet,n./v.,3
jewel,n.,3
jewelry,n.,3
jingle,n./v.,5
job,n.,1
jog,v./n.,2
join,v./n.,1
joint,n./adj./v.,2
joke,n./v.,1
jolly,adj./adv./v./n.,5
journal,n.,3
journalism,n.,5
journalist,n.,5
journey,n./v.,3
joy,n.,1
joyful,adj.,3
joyous,adj.,6
judge,n.,2
judge,v./(n.),2
judgement,v./(n.),2
judgment,v./(n.),2
jug,n./v.,5
juice,n.,1
juicy,adj.,2
July,n.,1
Jul.,n.,1
jump,v./n.,1
June,n.,1
Jun.,n.,1
jungle,n.,3
junior,adj./n.,4
junk,n./v.,3
jury,n.,5
just,adj.,1
just,adv.,1
justice,n.,3
justify,v.,5
juvenile,adj./n.,5
