kangaroo,n.,3
keen,adj.,4
keep,v./n.,1
keeper,n.,1
kernel,n.,6
ketchup,n.,2
catsup,n.,2
kettle,n.,3
key,n./v.,1
key,adj.,1
keyboard,n.,3
kick,v./n.,1
kid,n./v.,1
kidnap,v.,6
kidney,n.,3
kill,v./n.,1
kilogram,n.,3
kg,n.,3
kilometer,n.,3
km,n.,3
kin,n./adj.,5
kind,adj.,1
kind,n.,1
kindergarten,n.,2
kindle,v.,5
king,n.,1
kingdom,n.,2
kiss,v./n.,1
kit,n.,3
kitchen,n.,1
kite,n.,1
kitten,n.,1
kitty,n.,1
knee,n./v.,1
kneel,v.,3
knife,n./v.,1
knight,n./v.,3
knit,v./n.,3
knob,n.,3
knock,v./n.,2
knot,n./v.,3
know,v.,1
knowledge,n.,2
knowledgeable,adj.,5
knuckle,n./v.,4
koala,n.,2
