nag,v./n.,5
nail,n.,2
nail,n./v.,2
naive,adj.,5
naked,adj.,2
name,n./v.,1
namely,adv.,4
nanny,n.,3
nap,n./v.,3
napkin,n.,2
narrate,v.,6
narrative,n./adj.,6
narrator,n.,6
narrow,adj./v.,2
nasty,adj.,5
nation,n.,1
national,adj.,2
nationalism,n.,6
nationality,n.,4
native,adj./n.,3
natural,adj.,2
naturalist,n.,6
nature,n.,1
naughty,adj.,2
naval,adj.,6
navel,n.,6
navigate,v.,5
navigation,n.,6
navy,n.,3
near,adj./adv./prep./v.,1
nearby,adj./adv.,2
nearly,adv.,2
nearsighted,adj.,4
neat,adj.,2
necessary,adj.,2
necessity,n.,3
neck,n./v.,1
necklace,n.,2
necktie,n.,3
need,v./aux./n.,1
needle,n./v.,2
needy,adj.,4
negative,adj./n.,2
neglect,v./n.,4
negotiate,v.,4
negotiation,n.,6
neighbor,n./v.,2
neighborhood,n.,3
neither,adj./adv./pron./conj.,2
neon,n.,6
nephew,n.,2
nerve,n.,3
nervous,adj.,3
nest,n./v.,2
net,n./v.,2
network,n.,3
neutral,adj./n.,6
never,adv.,1
nevertheless,adv.,4
nonetheless,adv.,4
new,adj.,1
newlywed,n.,6
news,n.,1
newscast,n.,5
newscaster,n.,6
anchorman,n.,6
anchorwoman,n.,6
newspaper,n.,1
next,adj./adv.,1
nibble,v./n.,5
nice,adj.,1
nickel,n./v.,5
nickname,n./v.,3
niece,n.,2
night,n.,1
nightingale,n.,5
nightmare,n.,4
nine,n./adj.,1
nineteen,n./adj.,1
ninety,n./adj.,1
no,adj./adv./n.,1
nope,adj./adv./n.,1
noble,adj./n.,3
nobody,pron./n.,2
nod,v./n.,2
noise,n.,1
noisy,adj.,1
nominate,v.,5
nomination,n.,6
nominee,n.,6
none,pron./adv.,2
nonetheless,adv.,5
nonsense,n.,4
nonviolent,adj.,5
noodle,n.,2
noon,n.,1
nor,conj.,1
norm,n.,6
normal,adj.,3
north,n./adj./adv.,1
northern,adj.,2
nose,n./v.,1
nostril,n.,5
not,adv.,1
notable,adj./n.,5
note,n./v.,1
notebook,n.,2
nothing,pron./n.,1
notice,n./v.,1
noticeable,adj.,5
notify,v.,5
notion,n.,5
notorious,adj.,6
noun,n.,4
nourish,v./(n.),6
nourishment,v./(n.),6
novel,adj.,2
novel,n.,2
novelist,n.,3
November,n.,1
Nov.,n.,1
novice,n.,5
now,adv./n.,1
nowadays,adv.,4
nowhere,adv./pron.,5
nuclear,adj.,4
nucleus,n.,5
nude,adj./n.,5
nuisance,n.,6
number,n./v.,1
numerous,adj.,4
nun,n.,3
nurse,n./v.,1
nursery,n.,4
nurture,n./v.,6
nut,n.,2
nutrient,n./adj.,6
nutrition,n.,6
nutritious,adj.,6
nylon,n.,4
