o¡¦clock ,n.,1
oak,n.,3
oar ,n.,5
oasis ,n.,5
oath,n.,5
oatmeal,n.,5
obedience,n.,4
obedient ,adj.,4
obey ,v.,2
object,n.,2
object,v.,2
objection ,n. ,4
objective,adj. ,4
objective,n.,4
obligation,n.,6
oblige,v. ,6
oblong,adj./n. ,5
obscure,adj./v. ,6
observation,n.,4
observe,v.,3
observer,n.,5
obstacle,n.,4
obstinate ,adj. ,5
obtain ,v.,4
obvious ,adj. ,3
occasion ,n./v. ,3
occasional ,adj. ,4
occupation ,n.,4
occupy ,v.,4
occur ,v.,2
occurrence ,n.,5
ocean ,n.,1
October,n.,1
Oct.,n.,1
octopus,n. ,5
odd ,adj. ,3
odds ,n.,5
odor ,n. ,5
of ,prep.,1
off,adv./prep./adj. ,1
offend ,v.,4
offense ,n. ,4
offensive ,adj. ,4
offer ,n./v. ,2
offering ,n.,6
office ,n.,1
officer ,n. ,1
official ,adj./n. ,2
offspring ,n. ,6
often,adv. ,1
oil ,n./v.,1
O.K.,adj./adv./n./v. ,0
OK,adj./adv./n./v. ,0
okay,adj./adv./n./v. ,0
old,adj.,1
olive ,n./adj. ,5
omit ,v.,2
on ,prep./adv. ,1
once ,adv./conj./n. ,1
one,n./adj./pron.,1
onion,n.,2
only,adv./adj./conj.,1
onto,prep.,3
open,adj./v./n.,1
opera,n.,4
operate,v.,2
operation,n.,4
operational,adj.,6
operator,n.,3
opinion,n.,2
opponent,n.,5
opportunity,n.,3
oppose,v.,4
opposite,adj./n./adv./prep.,3
opposition,n.,6
oppress,v.,6
oppression,n.,6
optimism,n.,5
optimistic,adj.,3
option,n.,6
optional,adj.,6
or,conj.,1
oral,adj./n.,4
orange,n./adj.,1
orbit,n./v.,4
orchard,n.,5
orchestra,n.,4
ordeal,n.,6
order,n./v.,1
orderly,adj./n.,6
ordinary,adj.,2
organ,n.,2
organic,adj.,4
organism,n.,6
organization,n.,2
organize,v.,2
organizer,n.,5
orient,n./v.,5
oriental,adj./n.,5
origin,n.,3
original,adj./n.,3
originality,n.,6
originate,v.,6
ornament,n./v.,5
orphan,n./v.,3
orphanage,n.,5
ostrich,n.,5
other,adj./pron.,1
otherwise,adv.,4
ought to,v. (aux.),3
ounce,n.,5
our,pron.,1
ours,pron.,1
out,adv./prep./n./adj./v.,1
outbreak,n.,6
outcome,n.,4
outdo,v.,5
outdoor,adj.,3
outdoors,adv.,3
outer,adj.,3
outfit,n./v.,6
outgoing,adj.,5
outing,n.,6
outlaw,n./v.,6
outlet,n.,6
outline,n./v.,3
outlook,n.,6
outnumber,v.,6
output,n./v.,5
outrage,n./v.,6
outrageous,adj.,6
outright,adv./adj.,6
outset,n.,6
outside,n./adj./adv./prep.,1
outsider,n.,5
outskirts,n.,5
outstanding,adj.,4
outward,adj.,5
outward,adv.,5
outwards,adv.,5
oval,adj./n.,4
oven,n.,2
over,prep./adv.,1
overall,adj./adv./n.,5
overcoat,n.,3
overcome,v.,4
overdo,v.,5
overeat,v.,5
overflow,v./n.,5
overhead ,adv./adj./n. ,6
overhear ,v.,5
overlap ,v./n. ,6
overlook ,v.,4
overnigh,adv./adj. ,4
overpass ,n. ,2
overseas,adj./adv. ,2
oversleep,v.,5
overtake ,v.,4
overthrow,v.,4
overturn ,v./n. ,6
overwhelm,v. ,5
overwork ,v./n. ,5
owe,v.,3
owl ,n. ,2
own ,adj./v./pron.,1
owner,n.,2
ownership ,n.,3
ox,n.,2
oxygen ,n.,4
oyster,n.,5
ozone,n.,5
