pace,n./v.,4
pacific,adj./n.,5
pack,n./v.,2
package,n./v.,2
packet,n.,5
pact,n.,6
pad,n./v.,3
paddle,n./v.,5
page,n.,1
pail,n.,3
pain,n./v.,2
painful,adj.,2
paint,n./v.,1
painter,n.,2
painting,n.,2
pair,n./v.,1
pajamas,n.,2
pal,n.,3
palace,n.,3
pale,adj.,3
palm,n.,2
pamphlet,n./v.,6
pan,n.,2
pancake,n.,3
panda,n.,2
pane,n.,5
panel,n.,4
panic,n./v.,3
pants,n.,1
trousers,n.,1
papa,n.,1
pop,n.,1
papaya,n.,2
paper,n./v.,1
parachute,n./v.,4
parade,n./v.,3
paradise,n.,3
paradox,n.,5
paragraph,n.,4
parallel,adj./n./v.,5
paralyze,v.,6
parcel,n./v.,3
pardon,n./v.,2
parent,n.,1
parents,n.,1
park,n.,1
park,v.,1
parliament,n.,6
parlor,n.,5
parrot,n./v.,2
part,n.,1
part,v.,1
partial,adj.,4
participant,n.,5
participate,v.,3
participation,n.,4
participle,n.,4
particle,n.,5
particular,adj.,2
partly,adv.,5
partner,n.,2
partnership,n.,4
party,n./v.,1
pass,v./n.,1
passage,n.,3
passenger,n.,2
passion,n.,3
passionate,adj.,5
passive,adj.,4
passport,n.,3
password,n.,3
past,prep./adv.,1
past,adj./n.,1
pasta,n.,4
paste,n./v.,2
pastime,n.,5
pastry,n.,5
pat,v./n.,2
patch,n./v.,5
patent,n./adj./v.,5
path,n.,2
pathetic,adj.,6
patience,n.,3
patient,adj.,2
patient,n.,2
patriot,n.,5
patriotic,adj.,6
patrol,n./v.,5
patron,n.,5
pattern,n./v.,2
pause,v./n.,3
pave,v./(n.),3
pavement,v./(n.),3
paw,n./v.,3
pay,v./(n.),1
payment,v./(n.),1
pay,n.,3
salary,n.,3
wage,n.,3
wages,n.,3
PDA,n.,6
personal digital assistant,n.,6
pea,n.,3
peace,n.,2
peaceful,adj.,2
peach,n.,2
peacock,n.,5
peak,n./v.,3
peanut,n.,2
pear,n.,2
pearl,n.,3
peasant,n.,5
pebble,n.,4
peck,v./n.,5
peculiar,adj.,4
pedal,n./v.,4
peddle,v.,6
peddler,n.,5
pedestrian,n./adj.,6
peek,v./n.,5
peel,v./n.,3
peep,v./n.,3
peer,n.,4
peer,v.,4
peg,n./v.,5
pen,n./v.,1
penalty,n.,4
pencil,n./v.,1
penetrate,v.,5
penguin,n.,2
peninsula,n.,6
penny,n.,3
pension,n./v.,6
people,n./v.,1
pepper,n./v.,2
per,prep.,2
perceive,v.,5
percent,n.,4
per cent,n.,4
percentage,n.,4
perception,n.,6
perch,n./v.,5
perfect,adj./v./n.,2
perfection,n.,4
perform,v.,3
performance,n.,3
performer,n.,5
perfume,n./v.,4
perhaps,adv.,1
peril,n./v.,5
period,n.,2
perish,v.,5
permanent,adj.,4
permissible,adj.,5
permission,n.,3
permit,v./n.,3
perseverance,n.,6
persevere,v.,6
persist,v.,5
persistence,n.,6
