rabbit,n.,2
race,n./v.,1
race,n.,1
racial,adj.,3
racism,n.,6
rack,n.,5
rack,v.,5
radar,n.,3
radiant,adj./n.,6
radiate,v./adj.,6
radiation,n.,6
radiator,n.,6
radical,adj./n.,6
radio,n./v.,1
radish,n.,5
radius,n.,5
raft,n./v.,6
rag,n.,3
rage,n./v.,4
ragged,adj.,5
raid,n./v.,6
rail,n.,5
railroad,n.,1
rain,n./v.,1
rainbow,n.,1
rainfall,n.,4
rainy,adj.,2
raise,v./n.,1
raisin,n.,3
rally,n./v.,5
ranch,n./v.,5
random,adj.,6
range,n./v.,2
rank,n./v.,3
ransom,n./v.,6
rapid,adj.,2
rare,adj.,2
rascal,n.,5
rash,n.,6
rash,adj.,6
rat,n.,1
rate,n./v.,3
rather,adv.,2
ratio,n.,5
rational,adj.,6
rattle,v./n.,5
ravage,v./n.,6
raw,adj.,3
ray,n.,3
razor,n.,3
reach,v./n.,1
react,v.,3
reaction,n.,3
read,v.,1
ready,adj./v.,1
real,adj.,1
realism,n.,6
realistic,adj.,4
reality,n.,2
realization,n.,6
realize,v.,2
realm,n.,5
reap,v.,5
rear,n./adj.,5
reason,n./v.,1
reasonable,adj.,3
rebel,n.,4
rebel,v.,4
revolt,v.,4
rebellion,n.,6
recall,v./n.,4
receipt,n.,3
receive,v.,1
receiver,n.,3
recent,adj.,2
reception,n.,4
recession,n.,6
recipe,n.,4
recipient,n./adj.,6
recite,v.,4
reckless,adj.,5
reckon,v.,5
recognition,n.,4
recognize,v.,3
recommend,v.,5
recommendation,n.,6
reconcile,v.,6
record,n.,2
record,v.,2
recorder,n.,3
recover,v.,3
recovery,n.,4
recreation,n.,4
recreational,adj.,6
recruit,n./v.,6
rectangle,n.,2
recur,v.,6
recycle,v.,4
red,adj./n.,1
reduce,v.,3
reduction,n.,4
redundant,adj.,6
reef,n.,5
reel,n./v.,5
refer,v.,4
referee,n./v.,5
umpire,n./v.,5
reference,n.,4
refine,v./(n.),6
refinement,v./(n.),6
reflect,v.,4
reflection,n.,4
reflective,adj.,6
reform,v./n.,4
refresh,v./(n.),4
refreshment,v./(n.),4
refreshment,n.,6
refreshments,n.,6
refrigerator,n.,2
fridge,n.,2
icebox,n.,2
refuge,n.,5
sanctuary,n.,5
refugee,n.,4
refund,v./n.,6
refusal,n.,4
refuse,v.,2
refute,v.,5
regard,v./n.,2
regarding,prep.,4
regardless,adj./adv.,6
regime,n.,6
region,n.,2
regional,adj.,3
register,v./n.,4
registration,n.,4
regret,v./n.,3
regular,adj./n.,2
regulate,v.,4
regulation,n.,4
rehearsal,n.,6
rehearse,v.,6
reign,v./n.,5
rein,n./v.,6
reinforce,v.,6
reject,v.,2
rejection,n.,4
rejoice,v.,5
relate,v.,3
relation,n.,2
relationship,n.,2
relative,adj.,4
relative,n.,4
relax,v.,3
relaxation,n.,4
relay,n./v.,6
release,v./n.,3
relevant,adj.,6
reliable,adj.,3
reliance,n.,6
relic,n.,5
relief,n.,3
relieve,v.,4
religion,n.,3
religious,adj.,3
relish,n./v.,6
reluctant,adj.,4
rely,v.,3
remain,v.,3
remainder,n.,6
remark,v./n.,4
remarkable,adj.,4
remedy,n./v.,4
remember,v.,1
remind,v.,3
reminder,n.,5
remote,adj.,3
removal,n.,6
remove,v.,3
renaissance,n.,6
render,v.,6
renew,v.,3
renowned,adj.,6
rent,n./v.,3
rental,n.,6
repair,v./n.,3
repay,v.,5
repeat,v./n.,2
repetition,n.,4
replace,v./(n.),3
replacement,v./(n.),3
reply,v./n.,2
report,v./n.,1
reporter,n.,2
represent,v.,3
representation,n.,4
representative,adj./n.,3
repress,v.,6
reproduce,v.,5
reptile,n./adj.,5
republic,n.,3
republican,adj./n.,5
reputation,n.,4
request,n./v.,3
require,v./(n.),2
requirement,v./(n.),2
rescue,v./n.,4
research,n./v.,4
researcher,n.,4
resemblance,n.,6
resemble,v.,4
resent,v./(n.),5
resentment,v./(n.),5
reservation,n.,4
reserve,v./n.,3
reservoir,n.,6
reside,v.,5
residence,n.,5
resident,n./adj.,5
residential,adj.,6
resign,v.,4
resignation,n.,4
resist,v.,3
resistance,n.,4
resistant,adj.,6
resolute,adj.,6
resolution,n.,4
resolve,v./n.,4
resort,n./v.,5
resource,n.,3
respect,n./v.,2
respectable,adj.,4
respectful,adj.,4
respective,adj.,6
respond,v.,3
response,n.,3
responsibility,n.,3
responsible,adj.,2
rest,v./n.,1
restaurant,n.,2
restoration,n.,6
restore,v.,4
restrain,v.,5
restraint,n.,6
restrict,v.,3
restriction,n.,4
restroom,n.,2
rest room,n.,2
result,n./v.,2
resume,v./n.,5
retail,n./adj./adv./v.,6
retain,v.,4
retaliate,v.,6
retire,v./(n.),4
retirement,v./(n.),4
retort,n./v.,5
retreat,v./n.,4
retrieve,v.,6
return,v./n.,1
reunion,n.,4
reveal,v.,3
revelation,n.,6
revenge,n./v.,4
revenue,n.,6
reverse,v./adj./n.,5
review,n./v.,2
revise,v.,4
revision,n.,4
revival,n.,6
revive,v.,5
