sack,n.,3
sacred,adj.,5
sacrifice,n./v.,4
sad,adj.,1
saddle,n./v.,5
safe,adj.,1
safe,n.,1
safeguard,n./v.,6
safety,n.,2
sail,n./v.,1
sailor,n.,2
saint,n./v.,5
sake,n.,3
salad,n.,2
salary,n./v.,4
sale,n.,1
salesperson,n.,4
salesman,n.,4
saleswoman,n.,4
salmon,n./adj.,5
saloon,n.,6
salt,n./adj./v.,1
salty,adj.,2
salute,n./v.,5
salvation,n.,6
same,adj./pron./adv.,1
sample,n./v.,2
sanction,n./v.,6
sanctuary,n.,6
sand,n./v.,1
sandal,n.,5
sandwich,n./v.,2
sane,adj.,6
sanitation,n.,6
satellite,n.,4
satisfaction,n.,4
satisfactory,adj.,3
satisfy,v.,2
Saturday,n.,1
Sat.,n.,1
sauce,n./v.,2
saucer,n.,3
sausage,n.,3
savage,adj./n./v.,5
save,v.,1
saving,n.,3
savings,n.,3
saw,n./v.,1
say,v.,1
scale,n.,3
scales,n.,3
scan,v./n.,5
scandal,n.,5
scar,n./v.,5
scarce,adj.,3
scarcely,adv.,4
scare,v./n.,1
scarecrow,n.,3
scarf,n.,3
scary,adj.,3
scatter,v./n.,3
scene,n.,1
scenery,n.,4
scenic,adj.,6
scent,n./v.,5
schedule,n./v.,3
scheme,n./v.,5
scholar,n.,3
scholarship,n.,3
school,n./v.,1
science,n.,2
scientific,adj.,3
scientist,n.,2
scissors,n.,2
scold,v./n.,4
scoop,n./v.,3
scope,n.,6
score,n./v.,2
scorn,n./v.,5
scout,n./v.,3
scramble,v./n.,5
scrap,n./v.,5
scrape,v./n.,5
scratch,v./n.,4
scream,v./n.,3
screen,n./v.,2
screw,n./v.,3
screwdriver,n.,4
script,n./v.,6
scroll,n./v.,5
scrub,v./n.,3
sculptor,n.,5
sculpture,n./v.,4
sea,n.,1
seagull,n.,4
gull,n.,4
seal,n./v.,3
seal,n./v.,3
search,v./n.,2
season,n.,1
seat,n./v.,1
second,adj./n./adv.,1
second,n.,1
secondary,adj.,3
secret,adj./n.,2
secretary,n.,2
section,n./v.,2
sector,n.,6
secure,adj./v.,5
security,n.,3
seduce,v.,6
see,v.,1
seed,n./v.,1
seek,v.,3
seem,v.,1
seesaw,n./v.,1
segment,n./v.,5
seize,v.,3
seldom,adv.,3
select,v./adj.,2
selection,n.,2
selective,adj.,6
self,n.,1
selfish,adj.,1
sell,v.,1
semester,n.,2
seminar,n.,6
senator,n.,6
send,v.,1
senior,adj./n.,4
sensation,n.,5
sense,n./v.,1
sensible,adj.,3
sensitive,adj.,3
sensitivity,n.,5
sentence,n./v.,1
sentiment,n.,5
sentimental,adj.,6
separate,adj./v.,2
separation,n.,3
September,n.,1
Sept.,n.,1
sequence,n./v.,6
serene,adj.,6
serenity,n.,6
sergeant,n.,5
series,n.,5
serious,adj.,2
sermon,n.,5
servant,n.,2
serve,v.,1
server,n.,5
service,n./v.,1
serving,n.,6
session,n.,6
set,n.,1
set,v.,1
setback,n.,6
setting,n.,5
settle,v./(n.),2
settlement,v./(n.),2
settler,n.,4
seven,n./adj.,1
seventeen,n./adj.,1
seventy,n./adj.,1
several,adj./pron.,1
severe,adj.,4
sew,v.,3
sewer,n.,6
sex,n.,3
sexual,adj.,3
sexy,adj.,3
shabby,adj.,5
shade,n./v.,3
shadow,n./v.,3
shady,adj.,3
shake,v./n.,1
shall,v. (aux.),1
shallow,adj.,3
shame,n./v.,3
shameful,adj.,4
shampoo,n./v.,3
shape,n./v.,1
share,n./v.,2
shark,n.,1
sharp,adj./adv.,1
sharpen,v.,5
shatter,v.,5
shave,v./n.,3
shaver,n.,4
she,pron./n.,1
shed,n./v.,6
sheep,n.,1
sheer,adj./adv.,6
sheet,n.,1
shelf,n.,2
shell,n./v.,2
shelter,n./v.,4
shepherd,n.,3
sheriff,n.,5
shield,n./v.,5
shift,v./n.,4
shilling,n.,6
shine,v./n.,1
shiny,adj.,3
ship,n./v.,1
shirt,n.,1
shiver,v./n.,5
shock,n./v.,2
shoe,n.,1
shoes,n.,1
shoot,v./n.,2
shop,n.,1
store,n.,1
shop,v.,1
shoplift,v.,6
shore,n.,1
short,adj.,1
shortage,n.,5
shortcoming,n.,5
shorten,v.,3
shortly,adv.,3
shorts,n.,2
shortsighted,adj.,4
shot,n.,1
shoulder,n./v.,1
shout,v./n.,1
shove,v./n.,5
shovel,n./v.,3
show,v./n.,1
shower,n./v.,2
shred,n./v.,5
shrewd,adj.,6
shriek,v./n.,5
shrimp,n.,2
shrine,n.,5
shrink,v.,3
shrub,n.,5
shrug,v./n.,4
shudder,v./n.,5
shun,v.,6
shut,v.,1
shutter,n./v.,5
shuttle,n./v.,4
shy,adj.,1
sick,adj.,1
side,n.,1
sidewalk,n.,2
siege,n.,6
sigh,v./n.,3
sight,n./v.,1
sightseeing,n.,4
sign,n./v.,2
signal,n./v.,3
signature,n.,4
significance,n.,4
significant,adj.,3
signify,v.,6
silence,n./v.,2
silent,adj.,2
silicon,n.,6
silk,n.,2
silkworm,n.,5
silly,adj.,1
silver,n./adj.,1
similar,adj.,2
similarity,n.,3
simmer,v./n.,5
simple,adj.,1
simplicity,n.,6
simplify,v.,6
simply,adv.,2
simultaneous,adj.,6
sin,n./v.,3
since,prep./conj./adv.,1
sincere,adj.,3
sincerity,n.,4
sing,v.,1
singer,n.,1
single,adj./n./v.,2
singular,adj./n.,4
sink,v.,2
sink,n.,2
sip,v./n.,3
sir,n.,1
sister,n.,1
sit,v.,1
site,n./v.,4
situation,n.,3
six,n./adj.,1
sixteen,n./adj.,1
sixty,n./adj.,1
size,n./v.,1
skate,n./v.,3
skeleton,n.,5
skeptical,adj.,6
sketch,n./v.,4
ski,n./v.,3
skill,n.,1
skillful,adj.,2
skilled,adj.,2
skim,v./n.,6
skin,n./v.,1
skinny,adj.,2
skip,v./n.,3
skirt,n./v.,2
skull,n.,5
sky,n.,1
skyscraper,n.,3
slam,v./n.,5
slang,n./v.,6
slap,v./n./adv.,5
slash,v./n.,6
slaughter,n./v.,5
slave,n./v.,3
slavery,n.,6
slay,v.,5
sledge,n./v.,4
sled,n./v.,4
sleep,n./v.,1
sleepy,adj.,2
sleeve,n.,3
sleigh,n./v.,4
slender,adj.,2
slice,n./v.,3
slide,v./n.,2
slight,adj./v./n.,4
slim,adj./v.,2
slip,v./n.,2
slipper,n.,2
slippers,n.,2
slippery,adj.,3
slogan,n.,4
slope,n.,3
sloppy,adj.,5
slot,n./v.,6
slow,adj./adv./v.,1
slum,n./v.,6
slump,n./v.,5
sly,adj.,5
smack,n./v./adv.,6
small,adj./n./adv.,1
smallpox,n.,6
smart,adj.,1
smash,v./n.,5
smell,n./v.,1
smile,v./n.,1
smog,n.,4
smoke,n./v.,1
smooth,adj./v.,3
smother,v./n.,6
smuggle,v.,6
snack,n./v.,2
snail,n.,2
snake,n./v.,1
snap,v./n.,3
snare,n./v.,6
snarl,v./n.,5
snatch,v./n.,5
sneak,v./n.,5
sneaker,n.,5
sneakers,n.,5
sneaky,adj.,6
sneer,n./v.,6
sneeze,v./n.,4
sniff,v./n.,5
snore,n./v.,5
snort,n./v.,5
snow,n./v.,1
snowy,adj.,2
so,adv.,1
so,conj.,1
soak,v./n.,5
soap,n./v.,1
soar,v.,6
sob,v./n.,4
sober,adj./v.,5
soccer,n.,2
sociable,adj.,6
social,adj.,2
socialism,n.,6
socialist,n.,6
socialize,v.,6
society,n.,2
sociology,n.,6
sock,n.,2
socks,n.,2
socket,n.,4
soda,n.,1
sodium,n.,6
sofa,n.,1
soft,adj.,1
soften,v.,5
software,n.,4
soil,n./v.,1
solar,adj.,4
soldier,n.,2
sole,n./v.,5
sole,adj.,5
solemn,adj.,5
solid,adj.,3
solidarity,n.,6
solitary,adj./n.,5
solitude,n.,6
solo,n./v./adv.,5
solution,n.,2
solve,v.,2
some,adj./pron.,1
somebody,pron./n.,2
someday,adv.,3
somehow,adv.,3
someone,n./pron.,1
something,n./pron.,1
sometime,adv.,3
sometimes,adv.,1
somewhat,adv.,3
somewhere,adv.,2
son,n.,1
song,n.,1
soon,adv.,1
soothe,v.,6
sophisticated,adj.,6
sophomore,n.,4
sore,adj./n./adv.,3
sorrow,n./v.,3
sorrowful,adj.,4
sorry,adj.,1
sort,n./v.,2
soul,n.,1
sound,adj.,1
sound,n./v.,1
soup,n.,1
sour,adj./n./v.,1
source,n.,2
