table,n.,1
tablet,n.,3
tack,n./v.,3
tackle,v.,5
tact,n.,6
tactic,n.,6
tactics,n.,6
tag,n./v.,3
tail,n./v.,1
tailor,n./v.,3
take,v.,1
tale,n.,1
talent,n.,2
talk,v./n.,1
talkative,adj.,2
tall,adj.,1
tame,adj./v.,3
tan,n./adj./v.,5
tangerine,n.,2
tangle,v./n.,5
tank,n.,2
tap,n./v.,3
tap,v./n.,4
tape,n./v.,2
tar,n./v.,5
target,n./v.,2
tariff,n.,6
tart,n.,5
task,n./v.,2
taste,n./v.,1
tasty,adj.,2
taunt,n./v.,5
tavern,n.,5
tax,n./v.,3
taxicab,n.,1
taxi,n.,1
cab,n.,1
tea,n.,1
teach,v.,1
teacher,n.,1
team,n./v.,2
tear,n./v.,2
tear,v./n.,2
tease,v./n.,3
technical,adj.,3
technician,n.,4
technique,n.,3
technological,adj.,4
technology,n.,3
tedious,adj.,6
teen,n.,2
teens,n.,2
teenage,adj.,2
teenager,n.,2
telegram,n.,4
telegraph,n./v.,4
telephone,n./v.,2
phone,n./v.,2
telescope,n.,4
television,n.,2
TV,n.,2
tell,v.,1
teller,n.,5
temper,n.,3
temperament,n.,6
temperature,n.,3
tempest,n.,6
temple,n.,2
tempo,n.,5
temporary,adj.,3
tempt,v.,5
temptation,n.,5
ten,n./adj.,1
tenant,n./v.,5
tend,v.,3
tendency,n.,4
tender,adj.,3
tennis,n.,2
tense,adj./v.,4
tension,n.,4
tent,n.,2
tentative,adj.,5
term,n./v.,2
terminal,adj./n.,5
terminate,v.,6
terrace,n./v.,5
terrible,adj.,2
terrific,adj.,2
terrify,v.,4
territory,n.,3
terror,n.,4
test,n./v.,2
text,n.,3
textbook,n.,2
textile,n./adj.,6
texture,n./v.,6
than,prep./conj.,1
thank,v./n.,1
thankful,adj.,3
that,pron./adj./adv./conj.,1
the,art.,1
theater,n.,2
theatrical,adj.,6
theft,n.,6
their,pron.,1
theirs,pron.,1
them,pron.,1
theme,n.,4
then,adv./adj./n./conj.,1
theoretical,adj.,6
theory,n.,3
therapist,n.,6
therapy,n.,6
there,adv./n.,1
thereafter,adv.,6
thereby,adv.,6
therefore,adv.,2
thermometer,n.,6
these,pron./adj.,1
they,pron.,1
thick,adj.,2
thief,n.,2
thigh,n.,5
thin,adj.,2
thing,n.,1
think,v.,1
third,adj./n./adv.,1
thirst,n.,3
thirsty,adj.,2
thirteen,n./adj.,1
thirty,n./adj.,1
this,pron./adj./adv.,1
thorn,n.,5
thorough,adj.,4
those,pron./adj.,1
though,conj./adv.,1
thought,n.,1
thoughtful,adj.,4
thousand,n./adj.,1
thread,n./v.,3
threat,n.,3
threaten,v.,3
three,n./adj.,1
threshold,n.,6
