vacancy,n.,5
vacant,adj.,3
vacation,n./v.,2
vaccine,n.,6
vacuum,n./v.,5
vague,adj.,5
vain,adj.,4
valiant,adj.,6
valid,adj.,6
validity,n.,6
valley,n.,2
valuable,adj.,3
value,n./v.,2
van,n.,3
vanilla,n.,6
vanish,v.,3
vanity,n.,5
vapor,n.,5
variable,adj./n.,6
variation,n.,6
variety,n.,3
various,adj.,3
vary,v.,3
vase,n.,3
vast,adj.,4
vegetable,n.,1
vegetarian,n.,4
vegetation,n.,5
vehicle,n.,3
veil,n./v.,5
vein,n.,5
velvet,n./adj.,5
vend,v.,6
vendor,n.,6
venture,n./v.,5
verb,n.,4
verbal,adj./n.,5
verge,n./v.,6
versatile,adj.,6
verse,n.,3
version,n.,6
versus,prep.,5
vertical,adj./n.,5
very,adv.,1
very,adj.,4
vessel,n.,4
vest,n.,3
veteran,n.,6
veterinarian,n.,6
vet,n.,6
veto,n./v.,5
via,prep.,5
vibrate,v.,5
vibration,n.,6
vice,n.,6
vice-president,n.,3
vicious,adj.,6
victim,n.,3
victimize,v.,6
victor,n.,6
victorious,adj.,6
victory,n.,2
video,adj./n./v.,2
videotape,n./v.,5
view,n./v.,1
viewer,n.,5
vigor,n.,5
vigorous,adj.,5
villa,n.,6
village,n.,2
villain,n.,5
vine,n.,5
vinegar,n.,4
vineyard,n.,6
violate,v.,4
violation,n.,4
violence,n.,3
violent,adj.,3
violet,n./adj.,3
violin,n.,2
violinist,n.,5
virgin,n./adj.,4
virtual,adj.,6
virtue,n.,4
virus,n.,4
visa,n.,5
visible,adj.,3
vision,n.,3
visit,v./n.,1
visitor,n.,2
visual,adj.,4
visualize,v.,6
vital,adj.,4
vitality,n.,6
vitamin,n.,3
vivid,adj.,3
vocabulary,n.,2
vocal,adj./n.,6
vocation,n.,6
vocational,adj.,6
vogue,n.,6
voice,n./v.,1
volcano,n.,4
volleyball,n.,2
volume,n.,3
voluntary,adj.,4
volunteer,n./v.,4
vomit,v./n.,6
vote,n./v.,2
voter,n.,2
vow,n./v.,5
vowel,n.,4
voyage,n./v.,4
vulgar,adj.,6
vulnerable,adj.,6
