﻿Word,termFreq,docFreq
"，","60859","10"
"。","18263","10"
"」","7641","10"
"「","7586","10"
"、","7355","10"
"）","4659","8"
"（","4474","8"
"：","4019","9"
"；","1710","10"
"《","1112","9"
"》","946","9"
"【","679","1"
":","639","6"
")","626","9"
"…","621","10"
"(","615","9"
"．","486","9"
"】","440","1"
"！","433","9"
"］","422","4"
"—","335","8"
"？","276","9"
".","266","10"
"［","260","3"
"－","249","9"
"-","190","4"
"!","178","4"
"––––","177","1"
"3","172","8"
"●","169","1"
"1","157","7"
"2","157","8"
"·","141","8"
"?","129","4"
"──","124","6"
"〈","108","5"
"／","106","4"
"』","91","8"
"〉","89","6"
"4","87","7"
"『","83","8"
"，爲","82","8"
"(2)","80","5"
"(1)","76","4"
"＠","66","2"
"(3)","60","5"
"〕","58","1"
"，然","58","9"
"〔","56","2"
"～","56","4"
"（一）","50","8"
"®","47","3"
"'","46","5"
"（二）","45","7"
"1949年","40","1"
"5","37","7"
"(4)","35","5"
"1991","34","1"
"l","34","6"
"(二)","31","4"
"（三）","31","5"
"1990","27","2"
"»","27","1"
"«","26","1"
"(一)","25","4"
"(三)","25","5"
"/","24","3"
"11","24","6"
"1980年代","22","1"
"1991年","22","1"
"6","22","5"
"i","21","1"
"＞","21","3"
"(5)","20","4"
"H","19","1"
"I","19","2"
"＜","19","3"
"1989","18","1"
"（四）","18","5"
"10","17","5"
"17","17","4"
"20","17","4"
"13","16","5"
"1988","16","2"
"24","16","5"
"8","16","4"
"of","16","3"
"・","16","3"
"12","15","5"
"150","15","10"
"16","15","3"
"18","15","3"
"1990年代","15","1"
"7","15","3"
"9","15","3"
"拱·","15","1"
"＇","15","2"
"15","14","3"
"19","14","3"
"2-","14","2"
"21","14","5"
"27","14","5"
"t","14","1"
"(6)","13","4"
"1990年","13","1"
"1996年版","13","1"
"6日","13","1"
"<","13","1"
">","13","1"
"，年","13","5"
"23","12","3"
"28","12","3"
"30","12","3"
"31","12","2"
";","12","4"
"a","12","2"
"一九五O年","12","1"
"，期","12","10"
"14","11","3"
"1990.11.28","11","1"
"1992","11","1"
"22","11","2"
"25","11","3"
"36","11","3"
"80年代","11","1"
"·崇禎","11","1"
"•","11","2"
"(7)","10","4"
"150.45","10","10"
"1677","10","10"
"1958年","10","1"
"1960年","10","1"
"1990.11.29","10","1"
"1994年版","10","1"
"[","10","3"
"―","10","1"
"五0年代","10","1"
"(四)","9","4"
"10月","9","2"
"1970年代","9","1"
"1973","9","1"
"29","9","3"
"35","9","3"
"40","9","2"
"47,000","9","9"
"474,910","9","9"
"9月","9","2"
"A","9","3"
"F","9","1"
"Shanin","9","1"
"®民","9","1"
"：1","9","3"
"＿","9","4"
"0","8","3"
"1.1","8","2"
"1992年","8","1"
"26","8","2"
"32","8","2"
"33","8","2"
"39","8","2"
"5月","8","2"
"64","8","2"
"6月","8","2"
"72億","8","1"
"74","8","2"
"75","8","2"
"7月","8","2"
"It","8","1"
"L","8","2"
"O","8","4"
"b","8","1"
"f","8","1"
"––","8","1"
"“","8","2"
"◎","8","2"
"五O年代","8","2"
"－O","8","2"
"｀","8","4"
"1.2","7","2"
"1950年","7","1"
"1962","7","1"
"1974年","7","1"
"2.1","7","1"
"2.2","7","1"
"34","7","1"
"37","7","1"
"38","7","1"
"3月","7","2"
"41","7","2"
"43","7","2"
"46","7","2"
"49","7","2"
"5.1","7","1"
"5.2","7","1"
"50","7","2"
"60","7","3"
"62","7","2"
"63","7","2"
"65","7","2"
"66","7","2"
"68","7","2"
"71","7","2"
"73","7","2"
"77","7","2"
"79","7","2"
"81","7","2"
"83","7","2"
"85","7","2"
"87","7","3"
"89","7","2"
"il","7","1"
"·金門","7","2"
"一九九0年","7","1"
"一九九O年","7","2"
"（1）","7","2"
"（2）","7","1"
"106","6","3"
"113","6","2"
"116","6","2"
"155","6","3"
"1953年","6","1"
"1979年版","6","1"
"1985年版","6","1"
"1987年版","6","1"
"1995年版","6","1"
"2.3","6","1"
"3.1","6","1"
"42","6","1"
"44","6","1"
"45","6","1"
"47","6","1"
"48","6","1"
"51","6","1"
"52","6","1"
"53","6","1"
"58","6","2"
"59","6","2"
"67","6","1"
"69","6","1"
"70","6","1"
"72","6","1"
"76","6","1"
"78","6","1"
"80","6","1"
"82","6","1"
"84","6","1"
"]","6","3"
"and","6","2"
"。然","6","2"
"一九九O","6","5"
"，1979）","6","1"
"，没","6","4"
"－－","6","2"
"＼","6","1"
"｝","6","2"
"～－","6","3"
"(8)","5","3"
"(五)","5","4"
"-----","5","1"
"-------","5","1"
"1.3","5","2"
"118","5","2"
"121","5","2"
"127","5","2"
"139","5","2"
"143","5","2"
"149","5","2"
"156","5","2"
"159","5","2"
"1937年","5","1"
"1950年代","5","1"
"1951年","5","1"
"1957年","5","1"
"1960年代","5","1"
"1962年","5","1"
"1969年版","5","1"
"1976年","5","1"
"1977年","5","1"
"1984","5","2"
"1984年","5","2"
"1987年","5","2"
"1989年","5","1"
"1991年版","5","1"
"1992年版","5","1"
"1月","5","3"
"3-","5","1"
"3.2","5","1"
"4.2","5","1"
"54","5","1"
"55","5","1"
"56","5","1"
"57","5","1"
"61","5","1"
"86","5","1"
"88","5","1"
"90","5","1"
"91","5","2"
"94","5","2"
"96","5","2"
"97","5","2"
"98","5","2"
"C","5","2"
"El","5","1"
"J","5","3"
"ht","5","1"
