Word,termFreq,docFreq
"，","60859","10"
"的","22684","10"
"。","18263","10"
"」","7641","10"
"「","7586","10"
"、","7355","10"
"金門","6034","10"
"之","5808","10"
"一","5691","10"
"是","5371","10"
"在","5315","10"
"有","4717","10"
"）","4659","8"
"（","4474","8"
"：","4019","9"
"了","3123","10"
"也","3000","10"
"與","2892","10"
"以","2734","10"
"人","2585","10"
"而","2539","10"
"爲","2416","9"
"於","2389","10"
"其","2375","10"
"不","2185","10"
"這","2161","10"
"上","1872","10"
"年","1815","10"
"就","1792","10"
"中","1784","10"
"；","1710","10"
"他","1689","10"
"個","1683","10"
"時","1578","10"
"等","1505","10"
"所","1500","10"
"此","1492","10"
"來","1421","10"
"丶","1419","8"
"者","1394","10"
"後","1371","10"
"和","1364","10"
"及","1235","10"
"又","1227","10"
"使用","1194","9"
"情形","1177","10"
"都","1147","10"
"《","1112","9"
"三","1056","10"
"大","1043","10"
"至","1034","10"
"對","1033","10"
"由","983","10"
"台灣","971","10"
"並","965","10"
"則","950","10"
"》","946","9"
"各","935","10"
"地","920","10"
"下","908","10"
"可","908","10"
"要","890","10"
"因","884","10"
"兩","877","10"
"或","868","10"
"能","867","10"
"即","852","10"
"種","837","10"
"已","826","10"
"被","814","10"
"將","809","10"
"二","797","10"
"多","770","10"
"説","770","9"
"但","756","10"
"到","729","10"
"才","724","10"
"著","719","10"
"前","698","10"
"無","697","10"
"自","696","10"
"亦","688","10"
"更","682","10"
"【","679","1"
"間","658","10"
"從","657","10"
"會","657","10"
"歷史","654","10"
"民國","652","10"
":","639","6"
")","626","9"
"再","625","10"
"最","625","10"
"…","621","10"
"(","615","9"
"我","615","10"
"金門人","584","10"
"聚落","581","8"
"民間","557","10"
"為","557","10"
"曾","554","10"
"四","550","10"
"清","549","10"
"用","545","10"
"如","538","10"
"中共","535","10"
"風獅爺","529","8"
"文化","523","10"
"得","518","10"
"卻","509","10"
"做","505","10"
"今","496","10"
"新加坡","490","9"
"．","486","9"
"社會","483","10"
"大陸","477","10"
"五","470","10"
"乃","467","10"
"內","466","10"
"很","462","10"
"見","459","10"
"外","454","10"
"使","453","10"
"成","452","10"
"每","452","10"
"去","447","10"
"明","445","10"
"】","440","1"
"次","439","10"
"作","437","10"
"該","436","10"
