﻿Word,termFreq,docFreq
"，","24236","321"
"。","5764","308"
" ","5536","300"
"、","2377","250"
"「","2040","222"
"」","2040","222"
"！","918","196"
"：","647","187"
"？","626","168"
"；","574","144"
"（","383","115"
"）","383","114"
"-","248","35"
"……","195","90"
"《","128","36"
"》","128","36"
"/","92","9"
".","80","24"
"』","80","22"
"『","79","21"
"●","67","2"
"〈","56","27"
"〉","56","27"
"／","47","9"
"3","36","26"
"─","35","16"
"╱","34","2"
")","31","12"
"2","31","20"
"(","30","11"
"1","29","23"
"○","27","13"
"5","25","22"
"‧","24","15"
"10","22","17"
"4","21","16"
"2020","19","11"
"︰","19","2"
"50","18","6"
"E","15","5"
"6","14","11"
"20","13","11"
"7","13","10"
"15","12","10"
"A","12","7"
"B","12","6"
"—","12","7"
"-1","11","8"
"12","11","9"
"37","11","3"
"65","11","2"
"──","11","9"
"Ｘ","11","1"
"-0","10","1"
"11","10","10"
"59","10","3"
"2019","9","6"
"30","9","9"
"40","9","8"
"．","9","8"
"～","9","6"
"109","8","3"
"19","8","5"
"32","8","3"
"?","8","5"
"1991","7","3"
"80","7","5"
"9","7","7"
"05","6","2"
"100","6","6"
"38","6","2"
"60","6","5"
"8","6","5"
"90","6","6"
"LINE","6","4"
"07","5","1"
"16","5","5"
"18","5","5"
"1949","5","3"
"26","5","3"
"29","5","4"
"45","5","5"
"47","5","2"
"C","5","3"
"民國38年","5","3"
"04","4","3"
"1954","4","3"
"2008","4","3"
"2018","4","4"
"24","4","4"
"43","4","4"
"57","4","2"
"70","4","3"
":","4","4"
"Michael","4","2"
"Thomas","4","1"
"X","4","2"
"XX","4","2"
"of","4","4"
"○○","4","4"
"天行健，君子以自強不息","4","2"
"－","4","3"
"06","3","2"
"104","3","3"
"108","3","2"
"13","3","2"
"150","3","3"
"165","3","2"
"1852","3","2"
"1970","3","3"
"1990","3","3"
"2005","3","3"
"2010","3","3"
"2015","3","3"
"2016","3","3"
"23","3","3"
"240","3","2"
"25","3","3"
"28","3","3"
"35","3","2"
"500","3","2"
"823","3","3"
"86","3","1"
"88","3","3"
";","3","1"
"<","3","2"
">","3","2"
"Being","3","2"
"H","3","3"
"K","3","3"
"Line","3","3"
"O","3","2"
"a","3","3"
"case","3","1"
