Word,termFreq,docFreq
"，","24236","321"
"的","11927","347"
"。","5764","308"
" ","5536","300"
"我","2890","267"
"、","2377","250"
"在","2273","313"
"是","2205","304"
"了","2133","287"
"「","2040","222"
"」","2040","222"
"一","1532","289"
"有","1334","265"
"也","1187","267"
"這","1003","248"
"著","988","236"
"他","957","138"
"！","918","196"
"與","908","210"
"就","892","228"
"都","852","233"
"到","800","220"
"人","752","206"
"上","704","233"
"之","695","170"
"而","666","202"
"會","661","198"
"：","647","187"
"？","626","168"
"說","601","168"
"讓","590","207"
"你","581","124"
"；","574","144"
"要","572","195"
"我們","561","153"
"來","555","215"
"自己","541","171"
"和","533","181"
"那","514","184"
"後","498","187"
"裡","497","186"
"中","482","201"
"但","482","178"
"她","481","90"
"又","478","184"
"為","477","173"
"時","467","188"
"很","464","156"
"能","430","164"
"地","421","159"
"好","420","160"
"年","412","130"
"一個","409","174"
"去","399","164"
"老師","392","65"
"（","383","115"
"）","383","114"
"個","372","165"
"金門","369","83"
"被","366","145"
"得","359","166"
"對","345","158"
"多","336","162"
"下","332","171"
"還","329","163"
"他們","324","106"
"看","322","149"
"不","319","163"
"過","319","154"
"以","315","141"
"想","315","152"
"沒有","315","149"
"們","306","112"
"從","304","151"
"將","301","147"
"大","298","147"
"或","298","132"
"再","292","162"
"兩","290","150"
"才","287","137"
"於","285","119"
"已","273","132"
"因為","271","131"
"及","270","95"
"就是","269","136"
"把","269","130"
"種","268","120"
"最","265","144"
"吃","252","95"
"-","248","35"
"像","245","134"
"卻","244","130"
"三","243","106"
"所","243","126"
"給","243","120"
"前","242","139"
"走","235","124"
"可以","234","124"
"它","234","96"
"當","233","126"
"小","232","105"
"更","232","130"
"等","228","114"
"用","227","113"
"出","224","124"
"生活","222","106"
"位","210","102"
"成","209","125"
"做","208","108"
"時間","203","113"
"所以","202","96"
"啊","201","88"
"……","195","90"
"並","195","101"
"學生","195","55"
"次","195","97"
"孩子","193","65"
"其","192","77"
"因","191","92"
"跟","190","91"
"大家","189","85"
"沒","189","100"
"也是","173","101"
"者","170","79"
"起","170","115"
"事","168","102"
"如","166","102"
"母親","163","51"
"寫","160","64"
"帶","159","99"
"可","158","91"
"幾","158","95"
"這樣","156","89"
"每","155","96"
"呢","154","78"
"不是","150","95"
"看到","149","93"
"天","147","94"
"開始","145","100"
"愛","144","81"
"的是","144","88"
"無","143","80"
"還是","143","98"
"只是","141","86"
"還有","138","86"
"媽媽","137","40"
"心","137","93"
"人生","136","73"
"工作","136","64"
"此","136","68"
"長","136","88"
"只","135","90"
"由","135","75"
"牠","133","15"
"什麼","130","77"
"嗎","130","76"
"成為","130","85"
"聽","130","77"
"仔","129","21"
"現在","129","85"
"《","128","36"
"》","128","36"
"家","128","76"
"間","128","83"
"二","126","78"
"開","126","86"
"時候","125","71"
"許多","124","80"
"吧","123","79"
"之後","122","71"
"則","121","62"
"月","121","60"
"雖然","120","85"
"一樣","119","75"
"書","119","39"
"畫","119","33"
"頭","119","70"
"同學","118","43"
"向","118","78"
"最後","118","85"
"後來","116","75"
"火","116","20"
"父親","115","41"
"如果","114","71"
"生","114","77"
"四","113","73"
"常","113","76"
"張","113","52"
"無法","112","76"
"點","112","73"
"問","111","65"
"喜歡","111","75"
"太","111","76"
"學校","111","56"
"當年","111","58"
"真是","111","58"
"覺得","111","60"
"這些","111","73"
"如此","110","77"
"拿","110","62"
"為了","110","77"
"五","109","75"
"住","109","62"
"已經","109","72"
"當時","109","60"
"這個","109","66"
