﻿Word,termFreq,docFreq
"，","6329","20"
"。","2077","20"
"、","1122","20"
"\t","60","6"
"；","36","6"
"。\t","25","6"
"：","17","7"
"？","13","8"
"?","9","3"
"\t風獅爺","8","1"
"」","7","2"
"–","6","2"
"(","5","1"
"(1949)","5","2"
")","5","1"
"Quemoy","5","1"
"\t金門","5","4"
":","4","2"
"QUEMOY","4","1"
"!","3","2"
"(1931)","2","1"
"20","2","1"
"23日","2","1"
"A","2","1"
"Amoy","2","1"
"–理學","2","1"
"。明","2","2"
"(1529)","1","1"
"(1770)","1","1"
"(1869)","1","1"
"(1900)","1","1"
"(1915)","1","1"
"(1916)","1","1"
"(1924)","1","1"
"(1932)","1","1"
"(1933)","1","1"
"(1934)","1","1"
"(1938)","1","1"
"(1950)","1","1"
"(1951)","1","1"
"(1953)","1","1"
"(1954)","1","1"
"(1958)","1","1"
"(1962)","1","1"
"(1992)","1","1"
"(1995)","1","1"
"--","1","1"
".","1","1"
"12","1","1"
"12月","1","1"
"15","1","1"
"1682年","1","1"
"1840年","1","1"
"23","1","1"
"2500多","1","1"
"262","1","1"
"3月","1","1"
"700多","1","1"
"EYLANDQUEMOWI","1","1"
"Erasmusbay","1","1"
"Formosa","1","1"
"I","1","1"
"Is","1","1"
"Jimen","1","1"
"Kimen","1","1"
"Q","1","1"
"QUEMOEY","1","1"
"Quemowi","1","1"
"Strength","1","1"
"Union","1","1"
"\t\t","1","1"
"\t南洋","1","1"
"\t古時","1","1"
"\t台基","1","1"
"\t宗祠","1","1"
"\t後浦","1","1"
"\t拜","1","1"
"\t比起","1","1"
"\t獅爺","1","1"
"\t番仔厝","1","1"
"\t貢舉","1","1"
"ktv","1","1"
"thefivefoot","1","1"
"—","1","1"
"。世","1","1"
"。匪區","1","1"
"。堡","1","1"
"。子","1","1"
"。宗祠","1","1"
"。村","1","1"
"。樓","1","1"
"。然而","1","1"
"。辟","1","1"
"「","1","1"
"ㄩ型","1","1"
"一八四0年","1","1"
"二：一","1","1"
"五六0年代","1","1"
"刻，","1","1"
"十一，","1","1"
"十五，","1","1"
"多，島","1","1"
"建。橋","1","1"
"林釬–","1","1"
"梁克家–","1","1"
"獬。獬","1","1"
"用。","1","1"
"第。","1","1"
"許獬–","1","1"
"金門志，","1","1"
"金門浦邊人，","1","1"
"阿，","1","1"
"陳禎，","1","1"
"陳綱–","1","1"
"陳顯，","1","1"
"陳龍，","1","1"
"鴛鴦馬。","1","1"
"！","1","1"
"，乃斯","1","1"
"，任","1","1"
"，塔","1","1"
"，大利","1","1"
"，害","1","1"
"，後","1","1"
"，振威","1","1"
"，文","1","1"
"，樓","1","1"
"，譜書","1","1"
"，辟","1","1"
"，長","1","1"
"，面","1","1"
