Word,termFreq,docFreq
"，","6329","20"
"的","4130","20"
"。","2077","20"
"是","1305","20"
"、","1122","20"
"在","950","20"
"一","855","20"
"金門","831","20"
"個","755","20"
"有","716","20"
"就","518","20"
"這","513","20"
"也","411","20"
"都","371","20"
"我們","366","20"
"了","343","20"
"上","305","20"
"種","278","20"
"為","267","20"
"他","259","20"
"來","225","20"
"以","224","20"
"中","216","20"
"與","212","20"
"那","205","20"
"到","197","20"
"而","189","20"
"會","186","20"
"建築","184","13"
"各","182","20"
"所以","177","20"
"要","177","19"
"之","172","20"
"不","167","19"
"年","160","20"
"可以","155","19"
"這些","147","19"
"人","145","20"
"或","141","19"
"等","141","19"
"還","139","19"
"因為","138","20"
"後","138","20"
"最","137","20"
"所","136","20"
"宗祠","135","10"
"從","135","20"
"時候","135","20"
"說","135","20"
"著","129","19"
"於","128","19"
"兩","117","20"
"文化","114","19"
"及","111","20"
"很","111","20"
"每","108","20"
"大","107","20"
"用","107","17"
"由","107","20"
"傳統","106","16"
"民國","103","14"
"其","102","19"
"和","101","20"
"對","100","19"
"跟","100","20"
"標語","99","2"
"裡面","99","18"
"三","97","20"
"它","97","20"
"並","94","20"
"去","94","19"
"把","92","17"
"風獅爺","92","4"
"歷史","91","17"
"閩南","91","16"
"多","90","20"
"被","89","19"
"那麼","88","17"
"更","86","18"
"可","85","19"
"因此","85","19"
"時","84","17"
"洋樓","84","4"
"再","83","19"
"地方","83","19"
"重要","83","20"
"則","81","19"
"我","80","18"
"活動","80","14"
"讓","80","20"
"才","79","19"
"但是","78","19"
"地區","78","16"
"能","76","20"
"你","74","14"
"四","74","17"
"將","74","18"
"當時","73","15"
"聚落","73","11"
"除了","73","19"
"之後","71","18"
"外","71","19"
"然後","71","14"
"民間","70","17"
"又","69","18"
"很多","69","17"
"做","68","18"
"信仰","67","8"
"比較","67","17"
"非常","66","17"
"沒有","65","16"
"不同","63","17"
"戰地","63","10"
"村落","63","15"
"一般","62","17"
"天","62","14"
"現在","62","16"
"開始","62","16"
"\t","60","6"
"前","60","18"
"像","59","16"
"座","59","17"
"看","59","16"
"部分","59","16"
"一些","58","17"
"下","58","19"
"他們","57","19"
"以及","57","17"
"呢","57","14"
"地","57","19"
"成為","57","17"
"生活","57","16"
"其中","56","19"
"主要","55","18"
"內","55","17"
"家","55","14"
"就是","55","17"
"整","55","18"
"祖先","54","9"
"五","53","17"
"以後","53","17"
"坑道","53","4"
"如果","53","16"
"居民","53","14"
"大陸","52","12"
"小","52","19"
"第一","52","15"
"儀式","51","10"
"間","50","15"
"作為","49","12"
"台灣","49","16"
"稱","48","16"
"過","48","14"
"但","47","19"
"吃","47","14"
"好","47","18"
"為了","47","19"
"保存","46","15"
"次","46","14"
"此","46","18"
"相當","46","15"
"裡","45","14"
"已","44","18"
"已經","44","17"
"看到","44","16"
"空間","44","8"
"因","43","18"
"上面","42","15"
"時期","42","13"
"村","42","13"
"另外","41","16"
"或是","41","15"
"進士","41","6"
"金門人","41","16"
"之外","40","15"
"先","40","15"
"姓氏","40","7"
"者","40","14"
"自己","40","16"
"具有","39","16"
"宗族","39","8"
"或者","39","16"
"祭拜","39","7"
"精神","39","10"
"興建","39","11"
"這樣","39","18"
"向","38","14"
"如","38","16"
"對於","38","17"
"特色","37","13"
"許多","37","16"
"象徵","37","11"
"避邪物","37","2"
"叫做","36","12"
"得","36","15"
"正","36","16"
"社會","36","12"
"；","36","6"
"全","35","15"
"基本","35","15"
"幾","35","15"
"形式","35","10"
"成","35","14"
"發展","35","13"
"經過","35","14"
"軍事","35","9"
"古寧頭","34","7"
"形成","34","14"
"戰役","34","6"
"時間","34","15"
"段","34","17"
"處","34","14"
"同時","33","16"
"大概","33","15"
"早期","33","16"
"明代","33","7"
"民宅","33","9"
"準備","33","10"
"為主","33","12"
"俗稱","32","10"
"叫","32","12"
"寺廟","32","6"
"時代","32","10"
"皆","32","15"
"神明","32","8"
"能夠","32","16"
"裝飾","32","5"
"之間","31","14"
"只","31","15"
"左右","31","12"
"族人","31","6"
"稱為","31","15"
"中國","30","15"
"卻","30","15"
"子孫","30","9"
"廈門","30","8"
"所謂","30","14"
"棟","30","10"
"演出","30","2"
"牆","30","9"
"至","30","15"
"進行","30","12"
"部隊","30","6"
"關係","30","14"
"一直","29","15"
"二","29","16"
"位於","29","9"
