﻿Word,termFreq,docFreq
"，","60166","10"
"。","17850","10"
"」","7641","10"
"「","7586","10"
"、","7355","10"
"）","4654","8"
"（","4474","8"
"：","4017","9"
"；","1708","10"
"《","1112","9"
"》","946","9"
"【","679","1"
":","639","6"
"…","620","10"
"(","614","9"
")","608","9"
"．","480","9"
"】","440","1"
"！","433","9"
"］","421","4"
"—","334","8"
".","299","10"
"？","276","9"
"－","263","9"
"［","259","3"
"，爲","212","8"
"-","197","4"
"\u3000","186","7"
"!","176","4"
"––––","170","1"
"●","169","1"
"3","168","8"
"1","160","8"
"2","158","8"
"?","129","4"
"──","124","6"
"·","117","8"
"\t","112","4"
"〈","108","5"
"／","107","4"
"\u2003","93","2"
"』","91","8"
"〉","89","6"
"4","85","7"
"『","83","8"
"(2)","79","5"
"(1)","77","4"
"＠","66","2"
"，然","63","9"
"(3)","61","5"
"〕","58","1"
"〔","56","2"
"～","56","4"
"1990","50","2"
"。\t","50","2"
"（一）","50","8"
"®","46","3"
"（二）","46","7"
"\uf06e\t","43","1"
"1949年","39","1"
"(4)","36","5"
"。然","34","10"
"l","33","6"
"5","32","5"
"1991","30","1"
"（三）","30","5"
"(二)","29","4"
"«","27","1"
"»","27","1"
"(一)","26","4"
"i","26","1"
"(三)","25","5"
"11","25","5"
"6","23","5"
"1980年代","22","1"
"1991年","22","1"
"＞","21","3"
"(5)","20","4"
"10","20","5"
"H","20","1"
"I","20","2"
"，置","20","10"
"＜","19","3"
"27","18","5"
"––","18","1"
"（四）","18","5"
"13","17","4"
"17","16","3"
"20","16","4"
"47","16","10"
"・","16","3"
"12","15","5"
"150","15","10"
"1988","15","2"
"1989","15","1"
"21","15","4"
"28","15","4"
"○1","15","1"
"拱·","15","1"
"金門，","15","8"
"＇","15","2"
"，年","15","5"
"15","14","3"
"16","14","2"
"1990年代","14","1"
"22","14","3"
"7","14","3"
"8","14","2"
"9","14","3"
"t","14","1"
"。元","14","10"
"，期","14","10"
"11.28","13","1"
"1990年","13","1"
"1996年版","13","1"
"24","13","4"
"6日","13","1"
"\t\t","13","1"
"，任","13","3"
"，計","13","4"
"(6)","12","4"
"14","12","3"
"18","12","2"
"19","12","3"
"25","12","3"
"31","12","2"
";","12","4"
"<","12","1"
"○3","12","1"
"一九九O年","12","5"
"一九五O年","12","1"
"，居","12","4"
"，没","12","5"
"80年代","11","1"
">","11","1"
"·崇禎","11","1"
"•","11","2"
"(7)","10","4"
"/","10","3"
"0","10","4"
"000","10","10"
"150.45","10","10"
"1958年","10","1"
"1960年","10","1"
"1992","10","1"
"1994年版","10","1"
"2-","10","2"
"23","10","2"
"29","10","3"
"36","10","3"
"J","10","5"
"O","10","4"
"―","10","1"
"○2","10","1"
"○4","10","1"
"五0年代","10","1"
"日儒林。","10","10"
"祖厝\t","10","1"
"袁人。","10","1"
"10月","9","2"
"11.29","9","1"
"1677年","9","9"
"1970年代","9","1"
"26","9","2"
"30","9","2"
"40","9","2"
"474","9","9"
"910","9","9"
"9月","9","2"
"F","9","1"
"Shanin","9","1"
"®民","9","1"
"○5","9","1"
"○6","9","1"
"，明","9","3"
"，清","9","5"
"－O","9","2"
"：1","9","2"
"(四)","8","4"
"1.1","8","2"
"1992年","8","1"
"35","8","2"
"39","8","2"
"5月","8","2"
"60","8","3"
"64","8","2"
"6月","8","2"
"72億","8","1"
"75","8","2"
"7月","8","2"
"It","8","1"
"L","8","2"
"of","8","3"
"“","8","2"
"◎","8","2"
"。輯","8","1"
"五O年代","8","2"
"，後","8","5"
"，時","8","5"
"｀","8","4"
"1.2","7","2"
"1950年","7","1"
"1973","7","1"
"1974年","7","1"
"1996","7","2"
"2.1","7","1"
"2.2","7","1"
"3.1","7","1"
"32","7","1"
"33","7","1"
"34","7","1"
"37","7","1"
"38","7","1"
"3月","7","2"
"41","7","2"
"43","7","2"
"46","7","2"
"49","7","2"
"5.1","7","1"
"5.2","7","1"
"50","7","2"
"65","7","2"
"66","7","2"
"68","7","2"
"71","7","2"
"73","7","2"
"74","7","2"
"77","7","2"
"79","7","2"
"A","7","2"
"f","7","1"
"il","7","1"
"·金門","7","2"
"○12","7","2"
"○7","7","1"
"ㄥㄚ","7","1"
"一九九0年","7","1"
