Word,termFreq,docFreq
"，","60166","10"
"的","22690","10"
"。","17850","10"
"」","7641","10"
"「","7586","10"
"、","7355","10"
"金門","6009","10"
"之","5810","10"
"一","5587","10"
"是","5330","10"
"在","5306","10"
"）","4654","8"
"有","4641","10"
"（","4474","8"
"：","4017","9"
"了","3115","10"
"也","2992","10"
"與","2894","10"
"以","2733","10"
"而","2540","10"
"人","2462","10"
"於","2398","10"
"其","2380","10"
"這","2159","10"
"不","2125","10"
"爲","2003","9"
"上","1855","10"
"年","1790","10"
"中","1767","10"
"就","1742","10"
"；","1708","10"
"他","1684","10"
"個","1656","10"
"時","1574","10"
"等","1507","10"
"此","1501","10"
"所","1469","10"
"者","1387","10"
"來","1375","10"
"後","1362","10"
"和","1360","10"
"丶","1322","8"
"及","1241","10"
"又","1227","10"
"使用","1194","9"
"情形","1177","10"
"都","1123","10"
"《","1112","9"
"至","1043","10"
"三","1038","10"
"對","1030","10"
"大","1006","10"
"由","979","10"
"台灣","972","10"
"並","957","10"
"則","950","10"
"》","946","9"
"各","935","10"
"下","911","10"
"地","880","10"
"兩","877","10"
"可","877","10"
"要","875","10"
"因","870","10"
"或","868","10"
"能","853","10"
"即","844","10"
"種","835","10"
"已","826","10"
"被","813","10"
"將","804","10"
"二","780","10"
"説","763","9"
"多","760","10"
"但","755","10"
"到","728","10"
"才","709","10"
"著","702","10"
"前","686","10"
"亦","683","10"
"【","679","1"
"更","676","10"
"自","672","10"
"歷史","655","10"
"間","654","10"
"無","653","10"
"從","652","10"
"民國","652","10"
":","639","6"
"會","637","10"
"最","624","10"
"…","620","10"
"再","620","10"
"(","614","9"
"我","612","10"
")","608","9"
"金門人","582","10"
"聚落","581","8"
"為","561","10"
"民間","556","10"
"四","555","10"
"曾","545","10"
"中共","534","10"
"如","530","10"
"風獅爺","530","8"
"清","528","10"
"用","523","10"
"文化","522","10"
"卻","505","10"
"做","493","10"
"新加坡","489","9"
"今","485","10"
"得","485","10"
"社會","485","10"
"．","480","9"
"大陸","477","10"
"內","465","10"
"很","462","10"
"乃","457","10"
"五","456","10"
"每","452","10"
"外","445","10"
"去","444","10"
"使","442","10"
"見","441","10"
"】","440","1"
"次","440","10"
"該","435","10"
"！","433","9"
"明","430","10"
"均","427","10"
"另","421","10"
"］","421","4"
"中國","415","10"
"還","415","10"
"作","414","10"
"位","410","10"
"因此","404","10"
"西元","404","10"
"那","402","10"
"可以","401","10"
"天","400","10"
"成","399","10"
"且","396","10"
"地方","395","10"
"小","395","10"
"地區","390","10"
"澎湖","390","10"
"稱","390","10"
"應","386","10"
"福建","381","10"
"故","380","10"
"未","377","10"
"廈門","375","10"
"之後","374","10"
"本","374","10"
"海","372","10"
"過","370","10"
"家","362","10"
"由於","362","10"
"向","360","10"
"全","358","10"
"政府","356","10"
"事","353","10"
"設","353","10"
"台","351","10"
"南洋","350","10"
"仍","345","10"
"兩岸","345","6"
"發展","344","10"
"同","338","10"
"曰","338","10"
"—","334","8"
"生活","334","10"
"這些","334","10"
"把","329","10"
"關係","329","10"
"同安","323","10"
"只","322","10"
"據","322","10"
"當時","321","10"
"鄭成功","321","10"
"座","319","10"
"初","318","10"
"時間","317","10"
"空間","317","10"
"語","316","6"
"經濟","311","9"
"歲","308","9"
"處","306","10"
"名","305","10"
"雖","305","10"
"新","304","10"
"工作","302","10"
"他們","300","9"
".","299","10"
"軍事","299","10"
"文學","298","10"
"以及","297","10"
"島","297","10"
"自己","293","10"
"係","291","10"
"皆","291","10"
"日","284","10"
"當","283","10"
"我們","281","10"
"先生","278","10"
"建","277","10"
"約","276","10"
"？","276","9"
"居民","274","10"
"說","271","5"
"進士","271","10"
"較","270","10"
"其中","269","10"
"國家","269","10"
"它","268","10"
"－","263","9"
"會館","262","7"
"美國","260","4"
"閩","260","10"
"［","259","3"
"位於","255","10"
"吃","255","10"
"起","255","10"
"意義","254","10"
"第一","254","10"
"金","254","10"
"以後","253","10"
"知","252","10"
"村","251","10"
"表示","250","10"
"一般","248","10"
"屬","248","10"
"幾","248","10"
"主要","247","10"
"時期","247","10"
"元","243","10"
"傳統","242","10"
"建築","240","10"
"研究","240","10"
"常","238","10"
"公司","237","8"
"公元","236","2"
"成立","236","10"
"宗祠","235","10"
"尚","235","9"
"人文","233","10"
"字","233","9"
"所以","233","10"
"十月","232","10"
"好","232","10"
"看","232","10"
"若","232","10"
"這樣","229","10"
"末","228","10"
"没","226","8"
"門","225","10"
"高","225","10"
"不可","224","10"
"出版","223","10"
"進行","222","10"
"出","221","10"
"六","220","10"
"十","218","10"
"開始","217","10"
"先","213","10"
"記載","213","10"
"受","212","10"
"故事","212","9"
"，爲","212","8"
"福建省","211","10"
"姓","210","10"
"任","209","10"
"像","209","10"
"土地","209","10"
"正","208","10"
"代","207","10"
"尊","207","8"
"政治","207","10"
"烈嶼","207","10"
"同時","206","10"
"令","205","10"
"始","205","10"
"不過","204","9"
"村落","204","10"
"不同","203","10"
"建設","202","8"
"廟","201","9"
"過程","201","10"
"泉州","199","10"
"某","198","10"
"組織","198","7"
"-","197","4"
"但是","197","10"
"行","196","10"
"雖然","196","10"
"經","194","10"
"將軍","193","8"
"塊","191","10"
"必","190","10"
"僅","188","10"
"可能","188","10"
"\u3000","186","7"
"開","186","10"
"不能","185","10"
"便","185","10"
"同胞","185","5"
"註","185","6"
"八","183","10"
"戰爭","183","10"
"死","183","8"
"縣","183","10"
"遂","183","10"
"六月","182","9"
"你","180","7"
"國軍","180","10"
"年間","180","10"
"鄭氏","180","7"
"項","180","10"
"八月","179","10"
"經營","179","10"
"七","177","10"
"金門縣","177","8"
"!","176","4"
"並且","176","7"
"分","176","10"
"水","176","10"
"許多","176","10"
"形容","175","10"
"於是","175","10"
"諸","175","9"
"活動","174","10"
"南","173","10"
"給","173","10"
"自然","173","10"
"宋","172","10"
"生","172","10"
"國","171","10"
"現在","171","10"
"––––","170","1"
"十二","170","10"
"重要","170","9"
"●","169","1"
"九月","169","7"
