﻿Word,termFreq,docFreq
"，","4430","3"
"。","1833","3"
"「","1742","4"
"」","1739","4"
"、","1727","4"
"（","702","4"
"）","690","4"
"-","570","4"
"《","351","3"
"》","351","3"
"：","322","4"
".","314","4"
"；","264","3"
"‧","148","4"
"1","140","4"
"．","135","4"
"2","120","4"
"…","107","2"
"3","98","4"
"4","70","4"
"〈","64","3"
"〉","64","3"
"〕","56","4"
"〔","55","4"
"︱","54","3"
"5","43","4"
"6","38","4"
"-1","32","4"
"──","29","4"
"7","28","4"
"-2","27","3"
"10","25","4"
"9","21","4"
"11","20","4"
"8","19","4"
")","18","4"
"2016","17","2"
"7月","16","3"
"12月","14","2"
"12","13","4"
"2\t\t","12","1"
"88.06.15","11","1"
"-5","10","1"
"10月","10","3"
"19","10","3"
"—","10","3"
"-3","9","3"
"11月","9","2"
"18","9","4"
"2015","9","3"
"5月","9","1"
"61號","9","2"
"63","9","3"
":","9","4"
"(","8","4"
"1/15日","8","1"
"10.29","8","1"
"3\t\t","8","1"
"66號","8","3"
"73號","8","2"
"9月","8","2"
"？","8","3"
"-4","7","1"
"-6","7","3"
"14","7","3"
"2000","7","3"
"21","7","3"
"77.11.11","7","1"
".--","6","3"
"13","6","3"
"15","6","3"
"16","6","4"
"1\t\t","6","1"
"2012年","6","2"
"2013","6","1"
"2016年","6","2"
"23","6","3"
"3月","6","1"
"60","6","3"
"60號","6","4"
"61","6","4"
"73","6","1"
"8/15日","6","1"
"95.06.13","6","1"
"『","6","2"
"』","6","2"
"第104","6","1"
"第92.03.31","6","1"
"著，","6","2"
"/","5","3"
"104.02.11","5","1"
"104年","5","1"
"2003","5","2"
"2003年","5","1"
"2009年","5","1"
"2010","5","1"
"2010年","5","1"
"2011","5","2"
"2014年","5","1"
"20年","5","2"
"22","5","3"
"23年","5","2"
"27","5","2"
"2月","5","2"
"32","5","4"
"4\t\t","5","1"
"55","5","3"
"81","5","4"
"-1-1","4","2"
"-7","4","2"
"04","4","3"
"1-","4","3"
"1265","4","2"
"174","4","2"
"180","4","2"
"2/2日","4","1"
"20","4","3"
"2006","4","2"
"2007","4","2"
"2012","4","1"
"2014","4","2"
"26年","4","2"
"41","4","3"
"57","4","2"
"58","4","2"
"58號","4","2"
"63號","4","1"
"75號","4","2"
"80","4","2"
"8月","4","2"
"96.09.26","4","1"
"98","4","2"
"！","4","2"
"，當","4","2"
"＝","4","1"
"-2-1","3","1"
"-8","3","2"
"1.","3","3"
"1/18日","3","1"
"101","3","3"
"108","3","2"
"10年","3","2"
"11/21日","3","1"
"116","3","1"
"142","3","2"
"152","3","2"
"162","3","2"
"17","3","3"
"17年","3","2"
"1933年","3","1"
"1976年","3","1"
"1986年","3","1"
"1991","3","2"
"1994","3","2"
"1995","3","2"
"1995年","3","1"
"1997","3","1"
"1998","3","2"
"19世紀","3","1"
"1月","3","1"
"1段","3","3"
"2-2","3","1"
"2001年","3","1"
"2002年","3","1"
"2004","3","2"
"2004年","3","1"
"2005年","3","1"
"2006年","3","1"
"2011年","3","1"
"2013年","3","1"
"2017","3","2"
"25","3","2"
"26","3","1"
"28","3","2"
"280","3","3"
"281","3","2"
"3-1","3","2"
"301","3","2"
"30日","3","2"
"35","3","3"
"4-1","3","2"
"4/12日","3","1"
"40","3","3"
"44","3","3"
"4月","3","2"
"5-1","3","3"
"51","3","1"
"541","3","2"
"57號","3","2"
"64","3","3"
"6年","3","2"
"6月","3","1"
"70","3","2"
"71","3","2"
"74","3","3"
"74.08","3","1"
"74.08.19","3","1"
"80.11.23","3","1"
"89345","3","3"
"89350","3","3"
"986","3","2"
";","3","3"
"CIP","3","3"
"ISBN","3","3"
"NT$:","3","3"
"第1","3","1"
"第104.","3","1"
"＋","3","2"
"，然","3","2"
"-1-","2","1"
"-1-2","2","1"
"-1-3","2","1"
"-1-4","2","1"
"-2-2","2","1"
"-2-4","2","1"
"-3-1","2","1"
"-3-3","2","1"
".11","2","1"
"02","2","2"
"03","2","2"
"05","2","2"
"06","2","2"
"064","2","2"
"066","2","1"
"07","2","2"
"076","2","2"
"08","2","2"
"088","2","2"
"09","2","2"
"092","2","2"
"094","2","2"
"096","2","2"
"098","2","2"
"1-2","2","2"
"1-5","2","2"
"1-7","2","2"
"1-9","2","2"
"1/10","2","1"
"1/9日","2","1"
"1004","2","1"
"1017","2","2"
"102","2","2"
"104.","2","1"
"105年","2","2"
"106","2","2"
"106年","2","2"
"1087","2","1"
"112","2","1"
"1145","2","2"
"118","2","1"
"121","2","2"
"122","2","2"
"124","2","1"
"1274","2","1"
"12:30","2","1"
"130","2","1"
"132","2","2"
"1325","2","2"
"136","2","1"
"140","2","1"
"1403","2","2"
"141","2","2"
"144","2","1"
"146","2","2"
"1466","2","2"
"150","2","2"
"154","2","1"
"156","2","2"
"1587","2","2"
"15日","2","2"
"1607","2","2"
"161","2","2"
"1623","2","2"
"166","2","1"
"168","2","1"
"172","2","2"
"176","2","1"
"178","2","1"
"181","2","2"
"182","2","2"
"1821","2","2"
"1840","2","2"
"186","2","1"
"188","2","1"
"1887","2","1"
"18號","2","1"
"190","2","2"
"1931年","2","1"
"1949","2","2"
"1970年","2","1"
"1974","2","1"
"1979","2","2"
"1980年","2","1"
"1981年","2","1"
"1992","2","2"
"1992年","2","1"
"1993年","2","1"
"1994年","2","1"
"1996","2","2"
"1996年","2","1"
"1997年","2","1"
"1998年","2","1"
"1999年","2","2"
"19年","2","2"
"2-","2","2"
"2-1","2","2"
"2-3","2","2"
"2/15日","2","1"
"2001","2","1"
"2002","2","1"
"2005","2","1"
"2008","2","1"
"2008年","2","1"
"201","2","2"
"20131","2","1"
"2015年","2","2"
"202","2","2"
"205","2","2"
"221","2","2"
"24","2","2"
"241","2","2"
"261","2","2"
"2年","2","1"
"3-","2","2"
"3-2","2","2"
"3/20日","2","1"
"3/23日","2","1"
"3/3日","2","1"
"30","2","2"
"31","2","1"
"321","2","2"
"33號","2","1"
"34","2","2"
"341","2","2"
"361","2","2"
"381","2","2"
"38年","2","1"
"39年","2","1"
"4-1-1","2","2"
"4/4","2","1"
"4/8日","2","1"
"401","2","2"
"421","2","2"
"43","2","1"
"441","2","2"
"44號","2","1"
"45","2","2"
"461","2","2"
"481","2","2"
"4年","2","1"
"5-2","2","2"
"5/5日","2","1"
"501","2","2"
"521","2","2"
"581","2","2"
"5\t\t","2","1"
"5日","2","1"
"6-","2","1"
"6-2","2","2"
"6-4","2","2"
"62號","2","1"
"673.","2","2"
"68年","2","2"
"6日","2","2"
"7-1","2","2"
"7/1日","2","1"
"7/7日","2","1"
"7/8日","2","1"
"71號","2","1"
"781","2","2"
"8-1","2","2"
"9/15日","2","1"
"96","2","1"
"978","2","2"
"GPN","2","2"
"\u3000","2","2"
"\u3000面","2","2"
"ii","2","2"
"~","2","2"
"。嗣","2","2"
"。清","2","1"
"。漢","2","1"
"。鶴","2","2"
"ㄏㄨㄥˊ","2","1"
"ㄩˋㄌㄩˋ","2","1"
"唐‧孔穎達","2","1"
"撰，","2","1"
"第20","2","2"
"第3","2","1"
"第54","2","1"
"音ㄊㄠ","2","1"
"音ㄕㄣˊㄕㄨ","2","1"
"（1387）","2","1"
"（1843）","2","2"
"（1894）","2","1"
"（1900）","2","2"
"（803）","2","2"
"，冀","2","2"
"，漢","2","1"
"，素","2","1"
"，載","2","1"
"-1-1-","1","1"
"-1-6","1","1"
"-1-7-1","1","1"
"-1-7-2","1","1"
"-1794","1","1"
"-1\t\t","1","1"
"-2-5","1","1"
"-2-6","1","1"
"-24","1","1"
"-3-","1","1"
"-3-2","1","1"
"-5-2","1","1"
"-5-6","1","1"
"-51","1","1"
"-75","1","1"
"-79","1","1"
".01","1","1"
".23","1","1"
"0.10","1","1"
"0.28","1","1"
"0.80","1","1"
"0.97","1","1"
"002","1","1"
"00288","1","1"
"003十八","1","1"
"004","1","1"
"00487","1","1"
"00530","1","1"
"006","1","1"
"00679","1","1"
"0072","1","1"
"008","1","1"
"0083","1","1"
"0095","1","1"
"01","1","1"
"010","1","1"
"0104","1","1"
"01129","1","1"
"012","1","1"
"01213","1","1"
"01352","1","1"
"014","1","1"
"01418","1","1"
"01576","1","1"
"016","1","1"
"01669","1","1"
"017","1","1"
"018","1","1"
"01892","1","1"
"019","1","1"
"020","1","1"
"02033","1","1"
"02140","1","1"
"022","1","1"
"02219","1","1"
"024","1","1"
"026","1","1"
"0265","1","1"
"027八","1","1"
"028","1","1"
"02856","1","1"
"0296","1","1"
"030","1","1"
"03041","1","1"
"03128","1","1"
"032","1","1"
"03296","1","1"
"03334","1","1"
"03397","1","1"
"034","1","1"
"03410","1","1"
"03435","1","1"
"0354","1","1"
"036","1","1"
"0366","1","1"
"0375","1","1"
"038","1","1"
"039114156111107193144050169109119047191106072十一","1","1"
"040十一","1","1"
"040十二","1","1"
"042","1","1"
"0425","1","1"
"0436","1","1"
"044","1","1"
"04401","1","1"
"045七","1","1"
"046","1","1"
"04625","1","1"
"048","1","1"
"0495","1","1"
"04月","1","1"
"050","1","1"
"0514","1","1"
"052102","1","1"
"054052056203","1","1"
"05551","1","1"
"05654","1","1"
"058","1","1"
"060","1","1"
"062","1","1"
"06286","1","1"
"063","1","1"
"06444","1","1"
"06581","1","1"
"06653","1","1"
"06822","1","1"
"06915","1","1"
"070","1","1"
"07093","1","1"
"0717","1","1"
"072","1","1"
"073","1","1"
"074","1","1"
"07414","1","1"
"07516","1","1"
"07798","1","1"
"078","1","1"
"078十四","1","1"
"07963","1","1"
"07日","1","1"
"080","1","1"
"08088","1","1"
"082","1","1"
"0822","1","1"
"083103","1","1"
"084","1","1"
"084104","1","1"
"086","1","1"
"0866","1","1"
"08772","1","1"
"08946","1","1"
"090","1","1"
"09091","1","1"
"09159","1","1"
"093","1","1"
"09538","1","1"
"09799","1","1"
"09982","1","1"
"1-1","1","1"
"1-1-1","1","1"
"1-10","1","1"
"1-11","1","1"
"1-12","1","1"
"1-13","1","1"
"1-16","1","1"
"1-17","1","1"
"1-18","1","1"
"1-1\t","1","1"
"1-2-","1","1"
"1-23","1","1"
"1-24","1","1"
"1-25","1","1"
"1-26","1","1"
"1-8","1","1"
"1.七","1","1"
"1.三","1","1"
"1/1","1","1"
"1/10日","1","1"
"1/13日","1","1"
"1/1日","1","1"
"1/2日","1","1"
"1/4日","1","1"
"1/6日","1","1"
"1/7日","1","1"
"10.27","1","1"
"10/","1","1"
"10/10日","1","1"
"10/18日","1","1"
"10/21日","1","1"
"10/22日","1","1"
"10/26日","1","1"
"100","1","1"
"1000","1","1"
"1002","1","1"
"1006","1","1"
"10094","1","1"
"101.12.07","1","1"
"1010403061","1","1"
"1010501711","1","1"
"1016","1","1"
"1022","1","1"
"1024","1","1"
"10258","1","1"
"1026","1","1"
"103","1","1"
"10307","1","1"
"104","1","1"
"104.10.29","1","1"
"1042","1","1"
"10431","1","1"
"1044","1","1"
"1047","1","1"
"105.08","1","1"
"10517","1","1"
"1057","1","1"
"106.11","1","1"
"1062","1","1"
"1064","1","1"
"1067-1-3","1","1"
"1073","1","1"
"1077-1-4","1","1"
"1082","1","1"
"1084","1","1"
"1097","1","1"
"10西山","1","1"
"11.23","1","1"
"110","1","1"
"1102","1","1"
"1104","1","1"
"1105","1","1"
"1107","1","1"
"111","1","1"
"1117","1","1"
"1119-1125","1","1"
"1122","1","1"
"11226","1","1"
"1125","1","1"
"1127","1","1"
"112號","1","1"
"1130","1","1"
"113038158058","1","1"
"1137","1","1"
"114","1","1"
"1142","1","1"
"1147","1","1"
"1153","1","1"
"1157","1","1"
"1162","1","1"
"1165","1","1"
"11657","1","1"
"1167","1","1"
"1173","1","1"
"1177","1","1"
"1182","1","1"
"1185","1","1"
"1187","1","1"
"1197","1","1"
"11日","1","1"
"11號","1","1"
"12.","1","1"
"12/16日","1","1"
"12/18","1","1"
"12/23日","1","1"
"12/25日","1","1"
"12/28","1","1"
"12/29","1","1"
"120","1","1"
"1200","1","1"
"1205","1","1"
"12061","1","1"
"1207","1","1"
"120三","1","1"
"12108","1","1"
"12224","1","1"
"1223","1","1"
"1225","1","1"
"12273","1","1"
"1228","1","1"
"122十","1","1"
"1232","1","1"
"1238","1","1"
"1243","1","1"
"1245","1","1"
"1248","1","1"
"1258","1","1"
"126","1","1"
"1263","1","1"
"1266","1","1"
"1268","1","1"
"127059060","1","1"
"1278","1","1"
"128","1","1"
"1283","1","1"
"1285","1","1"
"1288","1","1"
"129","1","1"
"1298","1","1"
"12:40944","1","1"
"12:55","1","1"
"12日","1","1"
"130202057210","1","1"
"1303","1","1"
"1305","1","1"
"1308","1","1"
"1318","1","1"
"1323","1","1"
"1326","1","1"
"1328","1","1"
"13324","1","1"
"1338","1","1"
"134","1","1"
"13423","1","1"
"1343","1","1"
"1346","1","1"
"1348","1","1"
"13509","1","1"
"135十九","1","1"
"13611","1","1"
"1363","1","1"
"1366","1","1"
"1369","1","1"
"13710","1","1"
"1379","1","1"
"138","1","1"
"1383","1","1"
"1386","1","1"
"1389","1","1"
"138十五","1","1"
"139","1","1"
"13948","1","1"
"1399","1","1"
"13年","1","1"
"13日","1","1"
"1406","1","1"
"1409","1","1"
"14162","1","1"
"1419","1","1"
"1423","1","1"
"1426","1","1"
"14268","1","1"
"1429","1","1"
"14327","1","1"
"1439","1","1"
"1443","1","1"
"1446","1","1"
"1449","1","1"
"1459","1","1"
"14610","1","1"
"1463","1","1"
"14710","1","1"
"1478","1","1"
"148","1","1"
"14810","1","1"
"1483","1","1"
"1484","1","1"
"1486","1","1"
"14910","1","1"
"14939","1","1"
"14號","1","1"
"15010","1","1"
"1502","1","1"
"1503","1","1"
"1506","1","1"
"150多","1","1"
"15110","1","1"
"15132","1","1"
"15210-1-1-6","1","1"
