Word,termFreq,docFreq
"，","4430","3"
"的","1866","4"
"。","1833","3"
"「","1742","4"
"」","1739","4"
"、","1727","4"
"（","702","4"
"）","690","4"
"-","570","4"
"金門","558","4"
"為","505","3"
"與","488","4"
"是","420","3"
"之","418","4"
"有","374","3"
"以","353","3"
"《","351","3"
"》","351","3"
"：","322","4"
".","314","4"
"在","291","3"
"；","264","3"
"一","254","4"
"中","212","3"
"建築","205","3"
"兩","194","3"
"等","190","3"
"上","183","3"
"圖案","183","3"
"裝飾","182","3"
"邊","180","4"
"於","162","4"
"則","152","3"
"彩繪","149","2"
"‧","148","4"
"而","148","3"
"四","146","3"
"1","140","4"
"．","135","4"
"者","133","4"
"傳統","130","4"
"也","127","3"
"其","123","3"
"或","123","4"
"2","120","4"
"著","118","2"
"蔡氏","114","4"
"吉祥","113","2"
"前","109","3"
"楊天厚","108","4"
"…","107","2"
"家廟","102","3"
"後","99","4"
"龍","99","2"
"3","98","4"
"泥塑","98","2"
"宗祠","97","4"
"瓊林","96","4"
"洋樓","95","3"
"不","94","3"
"和","94","3"
"海印寺","93","4"
"對","92","3"
"及","91","4"
"種","91","3"
"字","90","2"
"林麗寬","90","4"
"文化","86","3"
"寓意","85","2"
"此","85","3"
"三","82","4"
"各","82","4"
"縣定","81","3"
"就","80","3"
"虎","80","2"
"磚雕","79","2"
"象徵","78","2"
"山后","75","2"
"藝術","74","3"
"人","73","3"
"個","73","3"
"木雕","73","2"
"稱","73","3"
"交趾陶","71","2"
"多","71","3"
"構圖","71","2"
"4","70","4"
"民俗村","70","2"
"能","70","3"
"間","70","3"
"圖","69","3"
"最","69","3"
"左側","66","2"
"烈嶼","66","4"
"大","65","3"
"金門縣","65","4"
"〈","64","3"
"〉","64","3"
"即","63","3"
"二","61","3"
"閩南","61","3"
"如","60","3"
"將","60","3"
"更","59","3"
"研究","59","3"
"不同","58","2"
"可","58","3"
"聚落","58","3"
"古蹟","57","3"
"右側","57","2"
"所","57","3"
"這","57","2"
"〕","56","4"
"側","56","2"
"又","56","3"
"〔","55","4"
"清","55","3"
"皆","54","3"
"︱","54","3"
