﻿Word,termFreq,docFreq
"，","24169","320"
"。","5746","307"
"、","2375","249"
"「","2037","221"
"」","2037","221"
"\u3000","971","120"
"！","886","194"
"：","627","184"
"？","627","168"
"；","572","143"
"…","390","90"
"（","366","106"
"）","365","105"
"《","129","36"
"》","129","36"
"\u3000\u3000","120","35"
"--","105","20"
"/","84","7"
"』","80","22"
"『","79","21"
"●","67","2"
"〈","56","27"
"〉","56","27"
".","50","19"
"／","47","9"
"─","35","16"
")","28","12"
"(","27","11"
"╱","26","2"
"！\u3000","26","18"
"2","21","12"
"3","19","15"
"︰","19","2"
"—","18","8"
"-","17","14"
"‧","16","9"
"，然","16","14"
"10","14","12"
"50","14","3"
"──","11","9"
"15","10","9"
"20","10","8"
"109年","9","4"
"2020年","9","7"
"40","9","8"
"E-065","9","1"
"～","9","6"
"1","8","7"
"2020","8","5"
"4","8","8"
"A","8","4"
"第37","8","1"
"12","7","5"
"2019年","7","5"
"3月","7","5"
"5","7","7"
"---","6","3"
"19","6","4"
"1991","6","2"
"30","6","6"
"38","6","2"
"6月","6","5"
"LINE","6","4"
"：\u3000","6","5"
"07","5","1"
"38年","5","3"
"47","5","2"
"4月","5","3"
"57年","5","3"
"7月","5","4"
"B","5","4"
"C","5","3"
"一八○","5","1"
"．","5","5"
"：╱","5","2"
"11月","4","4"
"18","4","4"
"1949年","4","3"
"2008年","4","3"
"2018年","4","4"
"26","4","2"
"2月","4","3"
"30日","4","4"
"32","4","2"
"32號","4","2"
"43","4","4"
"45","4","4"
"54年","4","4"
"5月","4","4"
"60","4","3"
"90","4","4"
":","4","4"
"Michael","4","2"
"of","4","4"
"一○八年","4","2"
"！\u3000\u3000","4","3"
"－","4","3"
"Ｘ光","4","1"
"Ｘ光機","4","1"
"100","3","3"
"102年","3","2"
"108年","3","2"
"11日","3","3"
"150","3","3"
"16","3","3"
"165","3","2"
"1954年","3","2"
"1日","3","3"
"2005年","3","3"
"23","3","3"
"24","3","3"
"240","3","2"
"25","3","3"
"29日","3","2"
"37","3","3"
"500","3","2"
"59.05","3","1"
"59.06.","3","2"
"6","3","3"
"7-11","3","2"
"70年","3","2"
"80","3","3"
"80年代","3","2"
"823","3","3"
"9月","3","3"
"<","3","2"
">","3","2"
"?","3","3"
"E","3","3"
"Line","3","3"
"Thomas","3","1"
"case","3","1"
"~","3","2"
"。然","3","3"
"ㄧ","3","2"
"第一八○","3","1"
"，後","3","3"
"：1","3","1"
"：\u3000\u3000","3","3"
"!","2","2"
"/\u3000","2","1"
"0","2","1"
"1.5","2","2"
"101","2","2"
"104年","2","2"
"10日","2","2"
"10月","2","2"
"112","2","2"
"117","2","1"
"12月","2","2"
"132","2","1"
"13號","2","2"
"14","2","2"
"15日","2","2"
"1852年","2","2"
"1858年","2","1"
"1947年","2","1"
"1960年代","2","2"
"1968年","2","2"
"1970年","2","2"
"1980年","2","2"
"1986年","2","1"
"1990年","2","2"
"1992年","2","2"
"2006年","2","1"
"2010年","2","2"
"2015年","2","2"
"2016年","2","2"
"2019","2","2"
"28","2","2"
"350","2","2"
"405","2","1"
"45年","2","2"
"48","2","2"
"49年","2","2"
"5000多","2","2"
"520","2","2"
"57","2","1"
"59.04","2","1"
"59.05.","2","2"
"5點","2","2"
"65年","2","2"
"68年","2","2"
"70","2","2"
"775","2","1"
"8","2","2"
"81年","2","2"
"86年","2","1"
"87年","2","1"
"88","2","2"
"8月","2","2"
"99","2","2"
";","2","1"
"AI","2","1"
"B4","2","1"
"BIC","2","1"
"B卷","2","1"
"DIY","2","2"
"GPS","2","1"
"H","2","2"
"K書","2","2"
"Osolemio","2","1"
"PINO","2","1"
"Polanyi","2","1"
"Sandel","2","1"
"The","2","2"
"X","2","1"
"XX","2","2"
"\u3000\u3000\u3000","2","2"
"\u3000■","2","1"
"\u3000一","2","2"
"\u3000二","2","2"
"\u3000俗話說","2","2"
"\u3000席","2","2"
"\u3000計","2","1"
"\ue1b0","2","1"
"and","2","1"
"line","2","2"
"techn","2","1"
"the","2","2"
"▓","2","2"
"★","2","2"
"一九五○年","2","1"
"七○年代","2","2"
"有。","2","1"
"第1","2","2"
"第35","2","2"
"第4","2","2"
"（一）","2","2"
"，擊","2","1"
"，方","2","2"
"，林","2","1"
"，然而","2","2"
"，爾後","2","2"
"；然","2","2"
"Ｘ光片","2","1"
"""Thisisapencil""","1","1"
"&Richard","1","1"
"(1954)","1","1"
"(1955)","1","1"
"(1956)","1","1"
"*_*","1","1"
"+1","1","1"
"-1","1","1"
"-1976年","1","1"
"-3成","1","1"
"-70年","1","1"
"-86年","1","1"
"-97年","1","1"
".H.","1","1"
"/If","1","1"
"01","1","1"
"013","1","1"
"04","1","1"
"05","1","1"
"0624","1","1"
"1.","1","1"
"1.六十三年","1","1"
"1/3","1","1"
"10/04","1","1"
"100%","1","1"
"100巷","1","1"
"100萬","1","1"
